INSTANCE,ALGORITHM,BIN_INDEX,ITEM_ID,X,Y,Z,DX,DY,DZ
THPACK9-001,laff,0,0,0,0,0,8,6,2
THPACK9-001,laff,0,0,0,0,2,8,6,2
THPACK9-001,laff,0,0,0,0,4,8,6,2
THPACK9-001,laff,0,0,0,0,6,8,6,2
THPACK9-001,laff,0,0,0,0,8,8,6,2
THPACK9-001,laff,0,0,0,0,10,8,6,2
THPACK9-001,laff,0,0,0,0,12,8,6,2
THPACK9-001,laff,0,0,0,0,14,8,6,2
THPACK9-001,laff,1,0,0,0,0,8,6,2
THPACK9-001,laff,1,0,0,0,2,8,6,2
THPACK9-001,laff,1,0,0,0,4,8,6,2
THPACK9-001,laff,1,0,0,0,6,8,6,2
THPACK9-001,laff,1,0,0,0,8,8,6,2
THPACK9-001,laff,1,0,0,0,10,8,6,2
THPACK9-001,laff,1,0,0,0,12,8,6,2
THPACK9-001,laff,1,0,0,0,14,8,6,2
THPACK9-001,laff,2,0,0,0,0,8,6,2
THPACK9-001,laff,2,0,0,0,2,8,6,2
THPACK9-001,laff,2,0,0,0,4,8,6,2
THPACK9-001,laff,2,0,0,0,6,8,6,2
THPACK9-001,laff,2,1,0,0,8,10,4,8
THPACK9-001,laff,3,1,0,0,0,10,4,8
THPACK9-001,laff,3,1,0,0,8,10,4,8
THPACK9-001,laff,4,1,0,0,0,10,4,8
THPACK9-001,laff,4,1,0,0,8,10,4,8
THPACK9-001,laff,5,1,0,0,0,10,4,8
THPACK9-001,laff,5,1,0,0,8,10,4,8
THPACK9-001,laff,6,1,0,0,0,10,4,8
THPACK9-001,laff,6,1,0,0,8,10,4,8
THPACK9-001,laff,7,1,0,0,0,10,4,8
THPACK9-001,laff,7,1,0,0,8,10,4,8
THPACK9-001,laff,8,1,0,0,0,10,4,8
THPACK9-001,laff,8,1,0,0,8,10,4,8
THPACK9-001,laff,9,1,0,0,0,10,4,8
THPACK9-001,laff,9,1,0,0,8,10,4,8
THPACK9-001,laff,10,1,0,0,0,10,4,8
THPACK9-001,laff,10,1,0,0,8,10,4,8
THPACK9-001,laff,11,1,0,0,0,10,4,8
THPACK9-001,laff,11,1,0,0,8,10,4,8
THPACK9-001,laff,12,1,0,0,0,10,4,8
THPACK9-001,laff,12,1,0,0,8,10,4,8
THPACK9-001,laff,13,1,0,0,0,10,4,8
THPACK9-001,laff,13,1,0,0,8,10,4,8
THPACK9-001,laff,14,1,0,0,0,10,4,8
THPACK9-001,laff,14,1,0,0,8,10,4,8
THPACK9-001,laff,15,1,0,0,0,10,4,8
THPACK9-001,laff,15,1,0,0,8,10,4,8
THPACK9-001,laff,16,1,0,0,0,10,4,8
THPACK9-001,laff,16,1,0,0,8,10,4,8
THPACK9-001,laff,17,1,0,0,0,10,4,8
THPACK9-001,laff,17,1,0,0,8,10,4,8
THPACK9-001,laff,18,1,0,0,0,10,4,8
THPACK9-001,laff,18,1,0,0,8,10,4,8
THPACK9-001,laff,19,1,0,0,0,10,4,8
THPACK9-001,laff,19,1,0,0,8,10,4,8
THPACK9-001,laff,20,1,0,0,0,10,4,8
THPACK9-001,laff,20,1,0,0,8,10,4,8
THPACK9-001,laff,21,1,0,0,0,10,4,8
THPACK9-001,laff,21,1,0,0,8,10,4,8
THPACK9-001,laff,22,1,0,0,0,10,4,8
THPACK9-001,laff,22,1,0,0,8,10,4,8
THPACK9-001,laff,23,1,0,0,0,10,4,8
THPACK9-001,laff,23,1,0,0,8,10,4,8
THPACK9-001,laff,24,1,0,0,0,10,4,8
THPACK9-001,laff,24,1,0,0,8,10,4,8
THPACK9-001,laff,25,1,0,0,0,10,4,8
THPACK9-001,laff,25,1,0,0,8,10,4,8
THPACK9-001,laff,26,1,0,0,0,10,4,8
THPACK9-001,laff,26,1,0,0,8,10,4,8
THPACK9-001,laff,27,1,0,0,0,10,4,8
THPACK9-001,plain,0,0,0,0,0,8,6,2
THPACK9-001,plain,0,0,0,0,2,8,6,2
THPACK9-001,plain,0,0,0,0,4,8,6,2
THPACK9-001,plain,0,0,0,0,6,8,6,2
THPACK9-001,plain,0,0,0,0,8,8,6,2
THPACK9-001,plain,0,0,0,0,10,8,6,2
THPACK9-001,plain,0,0,0,0,12,8,6,2
THPACK9-001,plain,0,0,0,0,14,8,6,2
THPACK9-001,plain,0,0,8,0,0,2,6,8
THPACK9-001,plain,0,0,8,0,8,2,6,8
THPACK9-001,plain,1,0,0,0,0,8,6,2
THPACK9-001,plain,1,0,0,0,2,8,6,2
THPACK9-001,plain,1,0,0,0,4,8,6,2
THPACK9-001,plain,1,0,0,0,6,8,6,2
THPACK9-001,plain,1,0,0,0,8,8,6,2
THPACK9-001,plain,1,0,0,0,10,8,6,2
THPACK9-001,plain,1,0,0,0,12,8,6,2
THPACK9-001,plain,1,0,0,0,14,8,6,2
THPACK9-001,plain,1,0,8,0,0,2,6,8
THPACK9-001,plain,1,0,8,0,8,2,6,8
THPACK9-001,plain,2,1,0,0,0,10,4,8
THPACK9-001,plain,2,1,0,0,8,10,4,8
THPACK9-001,plain,3,1,0,0,0,10,4,8
THPACK9-001,plain,3,1,0,0,8,10,4,8
THPACK9-001,plain,4,1,0,0,0,10,4,8
THPACK9-001,plain,4,1,0,0,8,10,4,8
THPACK9-001,plain,5,1,0,0,0,10,4,8
THPACK9-001,plain,5,1,0,0,8,10,4,8
THPACK9-001,plain,6,1,0,0,0,10,4,8
THPACK9-001,plain,6,1,0,0,8,10,4,8
THPACK9-001,plain,7,1,0,0,0,10,4,8
THPACK9-001,plain,7,1,0,0,8,10,4,8
THPACK9-001,plain,8,1,0,0,0,10,4,8
THPACK9-001,plain,8,1,0,0,8,10,4,8
THPACK9-001,plain,9,1,0,0,0,10,4,8
THPACK9-001,plain,9,1,0,0,8,10,4,8
