TYPE,ID,COPIES,BIN,X,Y,Z,LX,LY,LZ,ROTATION
BIN,0,1,0,0,0,0,10,10,10,
ITEM,0,1,0,0,0,0,5,5,5,XYZ
ITEM,1,1,0,0,0,5,5,5,5,XYZ
ITEM,2,1,0,0,5,0,5,5,5,XYZ
ITEM,3,1,0,0,5,5,5,5,5,XYZ
ITEM,4,1,0,5,0,0,5,5,5,XYZ
ITEM,5,1,0,5,0,5,5,5,5,XYZ
ITEM,6,1,0,5,5,0,5,5,5,XYZ
ITEM,7,1,0,5,5,5,5,5,5,XYZ
BIN,1,1,1,0,0,0,10,10,10,
ITEM,8,1,1,0,0,0,5,5,5,XYZ
ITEM,9,1,1,0,0,5,5,5,5,XYZ
ITEM,10,1,1,0,5,0,5,5,5,XYZ
ITEM,11,1,1,0,5,5,5,5,5,XYZ
ITEM,12,1,1,5,0,0,5,5,5,XYZ
ITEM,13,1,1,5,0,5,5,5,5,XYZ
ITEM,14,1,1,5,5,0,5,5,5,XYZ
ITEM,15,1,1,5,5,5,5,5,5,XYZ
