TYPE,ID,COPIES,BIN,STACK,X,Y,Z,LX,LY,LZ,GROUP_ID
BIN,0,1,0,-1,0,0,0,10,10,10,
STACK,0,1,0,0,0,0,0,5,5,10,
ITEM,12,1,0,0,0,0,0,5,5,5,0
ITEM,13,1,0,0,0,0,5,5,5,5,0
STACK,1,1,0,1,0,5,0,5,5,10,
ITEM,5,1,0,1,0,5,0,5,5,5,0
ITEM,14,1,0,1,0,5,5,5,5,5,0
STACK,2,1,0,2,5,0,0,5,5,10,
ITEM,3,1,0,2,5,0,0,5,5,5,0
ITEM,4,1,0,2,5,0,5,5,5,5,0
STACK,3,1,0,3,5,5,0,5,5,10,
ITEM,0,1,0,3,5,5,0,5,5,5,0
ITEM,2,1,0,3,5,5,5,5,5,5,0
BIN,1,1,1,-1,0,0,0,10,10,10,
STACK,0,1,1,0,0,0,0,5,5,10,
ITEM,11,1,1,0,0,0,0,5,5,5,0
ITEM,15,1,1,0,0,0,5,5,5,5,0
STACK,1,1,1,1,0,5,0,5,5,10,
ITEM,8,1,1,1,0,5,0,5,5,5,0
ITEM,10,1,1,1,0,5,5,5,5,5,0
STACK,2,1,1,2,5,0,0,5,5,10,
ITEM,6,1,1,2,5,0,0,5,5,5,0
ITEM,7,1,1,2,5,0,5,5,5,5,0
STACK,3,1,1,3,5,5,0,5,5,10,
ITEM,1,1,1,3,5,5,0,5,5,5,0
ITEM,9,1,1,3,5,5,5,5,5,5,0
