TYPE,ID,COPIES,BIN,STACK,X,Y,Z,LX,LY,LZ,GROUP_ID
BIN,0,1,0,-1,0,0,0,10,10,10,
STACK,0,1,0,0,0,0,0,5,5,10,
ITEM,9,1,0,0,0,0,0,5,5,5,0
ITEM,10,1,0,0,0,0,5,5,5,5,0
STACK,1,1,0,1,0,5,0,5,5,10,
ITEM,1,1,0,1,0,5,0,5,5,5,0
ITEM,63,1,0,1,0,5,5,5,5,5,0
STACK,2,1,0,2,5,0,0,5,5,10,
ITEM,3,1,0,2,5,0,0,5,5,5,0
ITEM,4,1,0,2,5,0,5,5,5,5,0
STACK,3,1,0,3,5,5,0,5,5,10,
ITEM,14,1,0,3,5,5,0,5,5,5,0
ITEM,29,1,0,3,5,5,5,5,5,5,0
BIN,1,1,1,-1,0,0,0,10,10,10,
STACK,0,1,1,0,0,0,0,5,5,10,
ITEM,30,1,1,0,0,0,0,5,5,5,0
ITEM,33,1,1,0,0,0,5,5,5,5,0
STACK,1,1,1,1,0,5,0,5,5,10,
ITEM,27,1,1,1,0,5,0,5,5,5,0
ITEM,28,1,1,1,0,5,5,5,5,5,0
STACK,2,1,1,2,5,0,0,5,5,10,
ITEM,31,1,1,2,5,0,0,5,5,5,0
ITEM,32,1,1,2,5,0,5,5,5,5,0
STACK,3,1,1,3,5,5,0,5,5,10,
ITEM,61,1,1,3,5,5,0,5,5,5,0
ITEM,62,1,1,3,5,5,5,5,5,5,0
BIN,2,1,2,-1,0,0,0,10,10,10,
STACK,0,1,2,0,0,0,0,5,5,10,
ITEM,11,1,2,0,0,0,0,5,5,5,0
ITEM,12,1,2,0,0,0,5,5,5,5,0
STACK,1,1,2,1,0,5,0,5,5,10,
ITEM,38,1,2,1,0,5,0,5,5,5,0
ITEM,39,1,2,1,0,5,5,5,5,5,0
STACK,2,1,2,2,5,0,0,5,5,10,
ITEM,0,1,2,2,5,0,0,5,5,5,0
ITEM,8,1,2,2,5,0,5,5,5,5,0
STACK,3,1,2,3,5,5,0,5,5,10,
ITEM,13,1,2,3,5,5,0,5,5,5,0
ITEM,37,1,2,3,5,5,5,5,5,5,0
BIN,3,1,3,-1,0,0,0,10,10,10,
STACK,0,1,3,0,0,0,0,5,5,10,
ITEM,19,1,3,0,0,0,0,5,5,5,0
ITEM,20,1,3,0,0,0,5,5,5,5,0
STACK,1,1,3,1,0,5,0,5,5,10,
ITEM,5,1,3,1,0,5,0,5,5,5,0
ITEM,60,1,3,1,0,5,5,5,5,5,0
STACK,2,1,3,2,5,0,0,5,5,10,
ITEM,16,1,3,2,5,0,0,5,5,5,0
ITEM,44,1,3,2,5,0,5,5,5,5,0
STACK,3,1,3,3,5,5,0,5,5,10,
ITEM,51,1,3,3,5,5,0,5,5,5,0
ITEM,52,1,3,3,5,5,5,5,5,5,0
BIN,4,1,4,-1,0,0,0,10,10,10,
STACK,0,1,4,0,0,0,0,5,5,10,
ITEM,34,1,4,0,0,0,0,5,5,5,0
ITEM,36,1,4,0,0,0,5,5,5,5,0
STACK,1,1,4,1,0,5,0,5,5,10,
ITEM,47,1,4,1,0,5,0,5,5,5,0
ITEM,49,1,4,1,0,5,5,5,5,5,0
STACK,2,1,4,2,5,0,0,5,5,10,
ITEM,24,1,4,2,5,0,0,5,5,5,0
ITEM,26,1,4,2,5,0,5,5,5,5,0
STACK,3,1,4,3,5,5,0,5,5,10,
ITEM,25,1,4,3,5,5,0,5,5,5,0
ITEM,45,1,4,3,5,5,5,5,5,5,0
BIN,5,1,5,-1,0,0,0,10,10,10,
STACK,0,1,5,0,0,0,0,5,5,10,
ITEM,21,1,5,0,0,0,0,5,5,5,0
ITEM,23,1,5,0,0,0,5,5,5,5,0
STACK,1,1,5,1,0,5,0,5,5,10,
ITEM,22,1,5,1,0,5,0,5,5,5,0
ITEM,50,1,5,1,0,5,5,5,5,5,0
STACK,2,1,5,2,5,0,0,5,5,10,
ITEM,48,1,5,2,5,0,0,5,5,5,0
ITEM,53,1,5,2,5,0,5,5,5,5,0
STACK,3,1,5,3,5,5,0,5,5,10,
ITEM,35,1,5,3,5,5,0,5,5,5,0
ITEM,41,1,5,3,5,5,5,5,5,5,0
BIN,6,1,6,-1,0,0,0,10,10,10,
STACK,0,1,6,0,0,0,0,5,5,10,
ITEM,56,1,6,0,0,0,0,5,5,5,0
ITEM,57,1,6,0,0,0,5,5,5,5,0
STACK,1,1,6,1,0,5,0,5,5,10,
ITEM,18,1,6,1,0,5,0,5,5,5,0
ITEM,58,1,6,1,0,5,5,5,5,5,0
STACK,2,1,6,2,5,0,0,5,5,10,
ITEM,15,1,6,2,5,0,0,5,5,5,0
ITEM,17,1,6,2,5,0,5,5,5,5,0
STACK,3,1,6,3,5,5,0,5,5,10,
ITEM,2,1,6,3,5,5,0,5,5,5,0
ITEM,7,1,6,3,5,5,5,5,5,5,0
BIN,7,1,7,-1,0,0,0,10,10,10,
STACK,0,1,7,0,0,0,0,5,5,10,
ITEM,55,1,7,0,0,0,0,5,5,5,0
ITEM,59,1,7,0,0,0,5,5,5,5,0
STACK,1,1,7,1,0,5,0,5,5,10,
ITEM,43,1,7,1,0,5,0,5,5,5,0
ITEM,54,1,7,1,0,5,5,5,5,5,0
STACK,2,1,7,2,5,0,0,5,5,10,
ITEM,40,1,7,2,5,0,0,5,5,5,0
ITEM,42,1,7,2,5,0,5,5,5,5,0
STACK,3,1,7,3,5,5,0,5,5,10,
ITEM,6,1,7,3,5,5,0,5,5,5,0
ITEM,46,1,7,3,5,5,5,5,5,5,0
