TYPE,ID,COPIES,BIN,X,Y,Z,LX,LY,LZ,ROTATION
BIN,0,1,0,0,0,0,10,10,10,
ITEM,0,1,0,0,0,0,5,5,5,XYZ
ITEM,1,1,0,0,0,5,5,5,5,XYZ
ITEM,2,1,0,0,5,0,5,5,5,XYZ
ITEM,3,1,0,0,5,5,5,5,5,XYZ
ITEM,4,1,0,5,0,0,5,5,5,XYZ
ITEM,5,1,0,5,0,5,5,5,5,XYZ
ITEM,6,1,0,5,5,0,5,5,5,XYZ
ITEM,7,1,0,5,5,5,5,5,5,XYZ
BIN,1,1,1,0,0,0,10,10,10,
ITEM,8,1,1,0,0,0,5,5,5,XYZ
ITEM,9,1,1,0,0,5,5,5,5,XYZ
ITEM,10,1,1,0,5,0,5,5,5,XYZ
ITEM,11,1,1,0,5,5,5,5,5,XYZ
ITEM,12,1,1,5,0,0,5,5,5,XYZ
ITEM,13,1,1,5,0,5,5,5,5,XYZ
ITEM,14,1,1,5,5,0,5,5,5,XYZ
ITEM,15,1,1,5,5,5,5,5,5,XYZ
BIN,2,1,2,0,0,0,10,10,10,
ITEM,16,1,2,0,0,0,5,5,5,XYZ
ITEM,17,1,2,0,0,5,5,5,5,XYZ
ITEM,18,1,2,0,5,0,5,5,5,XYZ
ITEM,19,1,2,0,5,5,5,5,5,XYZ
ITEM,20,1,2,5,0,0,5,5,5,XYZ
ITEM,21,1,2,5,0,5,5,5,5,XYZ
ITEM,22,1,2,5,5,0,5,5,5,XYZ
ITEM,23,1,2,5,5,5,5,5,5,XYZ
BIN,3,1,3,0,0,0,10,10,10,
ITEM,24,1,3,0,0,0,5,5,5,XYZ
ITEM,25,1,3,0,0,5,5,5,5,XYZ
ITEM,26,1,3,0,5,0,5,5,5,XYZ
ITEM,27,1,3,0,5,5,5,5,5,XYZ
ITEM,28,1,3,5,0,0,5,5,5,XYZ
ITEM,29,1,3,5,0,5,5,5,5,XYZ
ITEM,30,1,3,5,5,0,5,5,5,XYZ
ITEM,31,1,3,5,5,5,5,5,5,XYZ
BIN,4,1,4,0,0,0,10,10,10,
ITEM,32,1,4,0,0,0,5,5,5,XYZ
ITEM,33,1,4,0,0,5,5,5,5,XYZ
ITEM,34,1,4,0,5,0,5,5,5,XYZ
ITEM,35,1,4,0,5,5,5,5,5,XYZ
ITEM,36,1,4,5,0,0,5,5,5,XYZ
ITEM,37,1,4,5,0,5,5,5,5,XYZ
ITEM,38,1,4,5,5,0,5,5,5,XYZ
ITEM,39,1,4,5,5,5,5,5,5,XYZ
BIN,5,1,5,0,0,0,10,10,10,
ITEM,40,1,5,0,0,0,5,5,5,XYZ
ITEM,41,1,5,0,0,5,5,5,5,XYZ
ITEM,42,1,5,0,5,0,5,5,5,XYZ
ITEM,43,1,5,0,5,5,5,5,5,XYZ
ITEM,44,1,5,5,0,0,5,5,5,XYZ
ITEM,45,1,5,5,0,5,5,5,5,XYZ
ITEM,46,1,5,5,5,0,5,5,5,XYZ
ITEM,47,1,5,5,5,5,5,5,5,XYZ
BIN,6,1,6,0,0,0,10,10,10,
ITEM,48,1,6,0,0,0,5,5,5,XYZ
ITEM,49,1,6,0,0,5,5,5,5,XYZ
ITEM,50,1,6,0,5,0,5,5,5,XYZ
ITEM,51,1,6,0,5,5,5,5,5,XYZ
ITEM,52,1,6,5,0,0,5,5,5,XYZ
ITEM,53,1,6,5,0,5,5,5,5,XYZ
ITEM,54,1,6,5,5,0,5,5,5,XYZ
ITEM,55,1,6,5,5,5,5,5,5,XYZ
BIN,7,1,7,0,0,0,10,10,10,
ITEM,56,1,7,0,0,0,5,5,5,XYZ
ITEM,57,1,7,0,0,5,5,5,5,XYZ
ITEM,58,1,7,0,5,0,5,5,5,XYZ
ITEM,59,1,7,0,5,5,5,5,5,XYZ
ITEM,60,1,7,5,0,0,5,5,5,XYZ
ITEM,61,1,7,5,0,5,5,5,5,XYZ
ITEM,62,1,7,5,5,0,5,5,5,XYZ
ITEM,63,1,7,5,5,5,5,5,5,XYZ
