instance_key,family,order,metric,py3dbp,jerry,winner
THPACK1-028,THPACK1,descending,packed_volume,21722688,21722688,tie
THPACK1-050,THPACK1,descending,packed_volume,24715980,25514160,jerry
THPACK1-051,THPACK1,descending,packed_volume,23940589,23940589,tie
THPACK1-060,THPACK1,descending,packed_volume,24741639,25253127,jerry
THPACK1-063,THPACK1,descending,packed_volume,21906368,21906368,tie
THPACK1-068,THPACK1,descending,packed_volume,26913360,26072400,py3dbp
THPACK1-072,THPACK1,descending,packed_volume,23221765,23633715,jerry
THPACK1-091,THPACK1,descending,packed_volume,25495505,26505952,jerry
THPACK1-094,THPACK1,descending,packed_volume,25776498,26713266,jerry
THPACK9-001,THPACK9,descending,bins_used,50,50,tie
THPACK9-002,THPACK9,descending,bins_used,10,10,tie
THPACK9-003,THPACK9,descending,bins_used,23,23,tie
THPACK9-004,THPACK9,descending,bins_used,30,30,tie
THPACK9-005,THPACK9,descending,bins_used,52,52,tie
THPACK9-006,THPACK9,descending,bins_used,10,10,tie
THPACK9-007,THPACK9,descending,bins_used,16,16,tie
THPACK9-008,THPACK9,descending,bins_used,4,4,tie
THPACK9-009,THPACK9,descending,bins_used,22,22,tie
THPACK9-010,THPACK9,descending,bins_used,55,55,tie
THPACK9-011,THPACK9,descending,bins_used,20,20,tie
THPACK9-012,THPACK9,descending,bins_used,56,56,tie
THPACK9-013,THPACK9,descending,bins_used,40,40,tie
THPACK9-014,THPACK9,descending,bins_used,40,40,tie
THPACK9-015,THPACK9,descending,bins_used,15,15,tie
THPACK9-016,THPACK9,descending,bins_used,33,33,tie
THPACK9-017,THPACK9,descending,bins_used,10,10,tie
THPACK9-021,THPACK9,descending,bins_used,23,23,tie
THPACK9-022,THPACK9,descending,bins_used,10,10,tie
THPACK9-023,THPACK9,descending,bins_used,22,21,jerry
THPACK9-024,THPACK9,descending,bins_used,7,7,tie
THPACK9-025,THPACK9,descending,bins_used,5,5,tie
THPACK9-026,THPACK9,descending,bins_used,4,4,tie
THPACK9-027,THPACK9,descending,bins_used,5,5,tie
THPACK9-028,THPACK9,descending,bins_used,11,11,tie
THPACK9-029,THPACK9,descending,bins_used,21,21,tie
THPACK9-030,THPACK9,descending,bins_used,25,25,tie
THPACK9-031,THPACK9,descending,bins_used,14,14,tie
THPACK9-032,THPACK9,descending,bins_used,5,5,tie
THPACK9-033,THPACK9,descending,bins_used,5,5,tie
THPACK9-034,THPACK9,descending,bins_used,11,11,tie
THPACK9-036,THPACK9,descending,bins_used,14,14,tie
THPACK9-037,THPACK9,descending,bins_used,23,23,tie
