benchmark_id,benchmark_name,category,problem_family,implementation_id,library,algorithm,planned_input_status,planned_capability_status,comparison_track,problem_scope,run_records,legacy_run_records,protocol_v3_run_records,protocol_v3_executed_records,protocol_v3_not_run_records,unique_instances,completed,time_limit,error,valid_complete,valid_partial,invalid_certificate,constraint_violation,no_solution,execution_status
B01,ESICUP THPACK1-7 / BR,PUBLIC_QUALITY,VOLUME_KNAPSACK,exact_cp_sat,OR-Tools,strengthened CP-SAT model,VALID,ADAPTER_MISSING,EXACT_MODEL,FULL_PROBLEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ADAPTER_MISSING
B01,ESICUP THPACK1-7 / BR,PUBLIC_QUALITY,VOLUME_KNAPSACK,exact_cplex,CPLEX,strengthened MIP model,VALID,ADAPTER_MISSING,EXACT_MODEL,FULL_PROBLEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ADAPTER_MISSING
B01,ESICUP THPACK1-7 / BR,PUBLIC_QUALITY,VOLUME_KNAPSACK,exact_gurobi,Gurobi,strengthened MIP model,VALID,ADAPTER_MISSING,EXACT_MODEL,FULL_PROBLEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ADAPTER_MISSING
B01,ESICUP THPACK1-7 / BR,PUBLIC_QUALITY,VOLUME_KNAPSACK,exact_scip,SCIP/PySCIPOpt,strengthened MIP model,VALID,ADAPTER_MISSING,EXACT_MODEL,FULL_PROBLEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ADAPTER_MISSING
B01,ESICUP THPACK1-7 / BR,PUBLIC_QUALITY,VOLUME_KNAPSACK,go_bp3d,gedex/bp3d,pivot greedy,VALID,PROJECTION_ONLY,COMPOSED,GEOMETRY_PROJECTION,2800,0,2800,2800,0,700,2800,0,0,0,2800,0,0,0,PROTOCOL_V3_EXECUTED
B01,ESICUP THPACK1-7 / BR,PUBLIC_QUALITY,VOLUME_KNAPSACK,jerry,jerry800416/3D-bin-packing,pivot/fix-point greedy,VALID,PROJECTION_ONLY,COMPOSED,GEOMETRY_PROJECTION,2856,56,2800,2800,0,700,1392,1464,0,0,1330,64,0,1462,PROTOCOL_V3_WITH_LEGACY_BASELINE
B01,ESICUP THPACK1-7 / BR,PUBLIC_QUALITY,VOLUME_KNAPSACK,packingsolver_fork_box,PackingSolver fork,box portfolio,VALID,SUPPORTED_NATIVE,NATIVE,FULL_PROBLEM,1400,1400,0,0,0,700,0,1400,0,0,1400,0,0,0,LEGACY_BASELINE_ONLY
B01,ESICUP THPACK1-7 / BR,PUBLIC_QUALITY,VOLUME_KNAPSACK,packingsolver_fork_boxstacks,PackingSolver fork,boxstacks portfolio,VALID,ADAPTER_MISSING,NATIVE,FULL_PROBLEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ADAPTER_MISSING
B01,ESICUP THPACK1-7 / BR,PUBLIC_QUALITY,VOLUME_KNAPSACK,packingsolver_upstream_box,PackingSolver upstream,box portfolio,VALID,SUPPORTED_NATIVE,NATIVE,FULL_PROBLEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PLANNED
B01,ESICUP THPACK1-7 / BR,PUBLIC_QUALITY,VOLUME_KNAPSACK,packingsolver_upstream_boxstacks,PackingSolver upstream,boxstacks portfolio,VALID,ADAPTER_MISSING,NATIVE,FULL_PROBLEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ADAPTER_MISSING
B01,ESICUP THPACK1-7 / BR,PUBLIC_QUALITY,VOLUME_KNAPSACK,py3dbp,py3dbp,pivot greedy,VALID,PROJECTION_ONLY,COMPOSED,GEOMETRY_PROJECTION,2818,18,2800,2800,0,700,1400,1418,0,0,1401,0,0,1417,PROTOCOL_V3_WITH_LEGACY_BASELINE
B01,ESICUP THPACK1-7 / BR,PUBLIC_QUALITY,VOLUME_KNAPSACK,rust_brkga,u-nesting,BRKGA,VALID,ADAPTER_MISSING,NATIVE,FULL_PROBLEM,2800,0,2800,2800,0,700,2800,0,0,0,2800,0,0,0,PROTOCOL_V3_EXECUTED
B01,ESICUP THPACK1-7 / BR,PUBLIC_QUALITY,VOLUME_KNAPSACK,rust_extreme_point,u-nesting,ExtremePoint,VALID,ADAPTER_MISSING,NATIVE,FULL_PROBLEM,2800,0,2800,2800,0,700,2800,0,0,0,2800,0,0,0,PROTOCOL_V3_EXECUTED
B01,ESICUP THPACK1-7 / BR,PUBLIC_QUALITY,VOLUME_KNAPSACK,rust_ga,u-nesting,GA,VALID,ADAPTER_MISSING,NATIVE,FULL_PROBLEM,2800,0,2800,2800,0,700,2792,8,0,0,2792,0,0,8,PROTOCOL_V3_EXECUTED
B01,ESICUP THPACK1-7 / BR,PUBLIC_QUALITY,VOLUME_KNAPSACK,rust_layer,u-nesting,Layer/BottomLeftFill,VALID,ADAPTER_MISSING,NATIVE,FULL_PROBLEM,2800,0,2800,2800,0,700,2800,0,0,0,2800,0,0,0,PROTOCOL_V3_EXECUTED
B01,ESICUP THPACK1-7 / BR,PUBLIC_QUALITY,VOLUME_KNAPSACK,rust_sa,u-nesting,SA,VALID,ADAPTER_MISSING,NATIVE,FULL_PROBLEM,2800,0,2800,2800,0,700,2800,0,0,0,2800,0,0,0,PROTOCOL_V3_EXECUTED
B01,ESICUP THPACK1-7 / BR,PUBLIC_QUALITY,VOLUME_KNAPSACK,skjolber_fast_bruteforce,skjolber/3d-bin-container-packing,FastBruteForce,VALID,ADAPTER_MISSING,NATIVE,FULL_PROBLEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ADAPTER_MISSING
B01,ESICUP THPACK1-7 / BR,PUBLIC_QUALITY,VOLUME_KNAPSACK,skjolber_laff,skjolber/3d-bin-container-packing,LAFF,VALID,ADAPTER_MISSING,NATIVE,FULL_PROBLEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ADAPTER_MISSING
B01,ESICUP THPACK1-7 / BR,PUBLIC_QUALITY,VOLUME_KNAPSACK,skjolber_plain,skjolber/3d-bin-container-packing,Plain,VALID,ADAPTER_MISSING,NATIVE,FULL_PROBLEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ADAPTER_MISSING
B02,ESICUP THPACK8 / LN,PUBLIC_QUALITY,VOLUME_KNAPSACK,exact_cp_sat,OR-Tools,strengthened CP-SAT model,VALID,ADAPTER_MISSING,EXACT_MODEL,FULL_PROBLEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ADAPTER_MISSING
B02,ESICUP THPACK8 / LN,PUBLIC_QUALITY,VOLUME_KNAPSACK,exact_cplex,CPLEX,strengthened MIP model,VALID,ADAPTER_MISSING,EXACT_MODEL,FULL_PROBLEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ADAPTER_MISSING
B02,ESICUP THPACK8 / LN,PUBLIC_QUALITY,VOLUME_KNAPSACK,exact_gurobi,Gurobi,strengthened MIP model,VALID,ADAPTER_MISSING,EXACT_MODEL,FULL_PROBLEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ADAPTER_MISSING
B02,ESICUP THPACK8 / LN,PUBLIC_QUALITY,VOLUME_KNAPSACK,exact_scip,SCIP/PySCIPOpt,strengthened MIP model,VALID,ADAPTER_MISSING,EXACT_MODEL,FULL_PROBLEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ADAPTER_MISSING
