file,implementation,algorithm,instance_id,type,n,replicate,budget_s,status,valid_complete,bins_used,lower_bound,upper_bound,run_status,wall_s
B05-MPV-GEN-fork-box-10s-finite.jsonl,packingsolver_fork_box,box portfolio,IMM:mpvgen_t1_n30:001,1,30,1,10.0,VALID_COMPLETE,True,9,,,COMPLETED,2.0838773699942976
B05-MPV-GEN-fork-box-10s-finite.jsonl,packingsolver_fork_box,box portfolio,IMM:mpvgen_t1_n30:002,1,30,2,10.0,VALID_COMPLETE,True,11,,,TIME_LIMIT,11.351553736953065
B05-MPV-GEN-fork-box-10s-finite.jsonl,packingsolver_fork_box,box portfolio,IMM:mpvgen_t1_n30:003,1,30,3,10.0,VALID_COMPLETE,True,8,,,TIME_LIMIT,10.475289861904457
B05-MPV-GEN-fork-box-10s-finite.jsonl,packingsolver_fork_box,box portfolio,IMM:mpvgen_t1_n30:004,1,30,4,10.0,VALID_COMPLETE,True,7,,,COMPLETED,1.4954870101064444
B05-MPV-GEN-fork-box-10s-finite.jsonl,packingsolver_fork_box,box portfolio,IMM:mpvgen_t1_n30:005,1,30,5,10.0,VALID_COMPLETE,True,10,,,TIME_LIMIT,10.68505199905485
B05-MPV-GEN-fork-box-10s-finite.jsonl,packingsolver_fork_box,box portfolio,IMM:mpvgen_t1_n30:006,1,30,6,10.0,VALID_COMPLETE,True,7,,,COMPLETED,2.123617900069803
B05-MPV-GEN-fork-box-10s-finite.jsonl,packingsolver_fork_box,box portfolio,IMM:mpvgen_t1_n30:007,1,30,7,10.0,VALID_COMPLETE,True,8,,,TIME_LIMIT,10.543829115806147
B05-MPV-GEN-fork-box-10s-finite.jsonl,packingsolver_fork_box,box portfolio,IMM:mpvgen_t1_n30:008,1,30,8,10.0,VALID_COMPLETE,True,9,,,COMPLETED,1.1413429640233517
B05-MPV-GEN-fork-box-10s-finite.jsonl,packingsolver_fork_box,box portfolio,IMM:mpvgen_t1_n30:009,1,30,9,10.0,VALID_COMPLETE,True,9,,,COMPLETED,3.5925181328784674
B05-MPV-GEN-fork-box-10s-finite.jsonl,packingsolver_fork_box,box portfolio,IMM:mpvgen_t1_n30:010,1,30,10,10.0,VALID_COMPLETE,True,8,,,TIME_LIMIT,10.997287811944261
B05-MPV-GEN-fork-box-10s-finite.jsonl,packingsolver_fork_box,box portfolio,IMM:mpvgen_t1_n60:001,1,60,1,10.0,VALID_COMPLETE,True,15,,,TIME_LIMIT,15.529505043057725
