track,implementation,algorithm,budget_s,generator_type,items_n,valid_complete,mean_bins
FIXED,packingsolver_fork_box,box portfolio,1.0,1,30,10,8.600000
FIXED,packingsolver_fork_box,box portfolio,1.0,1,60,10,15.400000
FIXED,packingsolver_fork_box,box portfolio,1.0,1,90,10,24.500000
FIXED,packingsolver_fork_box,box portfolio,1.0,8,30,10,6.000000
FIXED,packingsolver_fork_box,box portfolio,1.0,8,60,10,11.200000
FIXED,packingsolver_fork_box,box portfolio,1.0,8,90,10,15.000000
FIXED,packingsolver_fork_box,box portfolio,1.0,9,30,10,3.000000
FIXED,packingsolver_fork_box,box portfolio,1.0,9,60,10,3.900000
FIXED,packingsolver_fork_box,box portfolio,1.0,9,90,10,4.100000
FIXED,packingsolver_fork_box,box portfolio,10.0,1,30,10,8.600000
FIXED,packingsolver_fork_box,box portfolio,10.0,1,60,10,15.200000
FIXED,packingsolver_fork_box,box portfolio,10.0,1,90,10,24.400000
FIXED,packingsolver_fork_box,box portfolio,10.0,6,30,10,1.000000
FIXED,packingsolver_fork_box,box portfolio,10.0,6,60,10,1.000000
FIXED,packingsolver_fork_box,box portfolio,10.0,6,90,10,1.000000
FIXED,packingsolver_fork_box,box portfolio,10.0,7,30,10,1.000000
FIXED,packingsolver_fork_box,box portfolio,10.0,7,60,10,1.000000
FIXED,packingsolver_fork_box,box portfolio,10.0,7,90,10,1.000000
FIXED,packingsolver_fork_box,box portfolio,10.0,8,30,10,6.000000
FIXED,packingsolver_fork_box,box portfolio,10.0,8,60,10,11.100000
FIXED,packingsolver_fork_box,box portfolio,10.0,8,90,10,14.700000
FIXED,packingsolver_fork_box,box portfolio,10.0,9,30,10,3.000000
FIXED,packingsolver_fork_box,box portfolio,10.0,9,60,10,3.900000
FIXED,packingsolver_fork_box,box portfolio,10.0,9,90,10,4.000000
FIXED,packingsolver_upstream_box,box portfolio,1.0,1,30,9,8.666667
FIXED,packingsolver_upstream_box,box portfolio,1.0,1,60,10,15.300000
FIXED,packingsolver_upstream_box,box portfolio,1.0,1,90,10,24.600000
FIXED,packingsolver_upstream_box,box portfolio,1.0,8,30,10,6.000000
FIXED,packingsolver_upstream_box,box portfolio,1.0,8,60,10,11.100000
FIXED,packingsolver_upstream_box,box portfolio,1.0,8,90,10,15.000000
FIXED,packingsolver_upstream_box,box portfolio,1.0,9,30,10,3.000000
FIXED,packingsolver_upstream_box,box portfolio,1.0,9,60,10,3.900000
FIXED,packingsolver_upstream_box,box portfolio,1.0,9,90,10,4.100000
FIXED,packingsolver_upstream_box,box portfolio,10.0,1,30,10,8.600000
FIXED,packingsolver_upstream_box,box portfolio,10.0,1,60,10,15.200000
FIXED,packingsolver_upstream_box,box portfolio,10.0,1,90,10,24.400000
FIXED,packingsolver_upstream_box,box portfolio,10.0,6,30,10,1.000000
FIXED,packingsolver_upstream_box,box portfolio,10.0,6,60,10,1.000000
FIXED,packingsolver_upstream_box,box portfolio,10.0,6,90,10,1.000000
FIXED,packingsolver_upstream_box,box portfolio,10.0,7,30,10,1.000000
FIXED,packingsolver_upstream_box,box portfolio,10.0,7,60,10,1.000000
FIXED,packingsolver_upstream_box,box portfolio,10.0,7,90,10,1.000000
FIXED,packingsolver_upstream_box,box portfolio,10.0,8,30,10,6.000000
FIXED,packingsolver_upstream_box,box portfolio,10.0,8,60,10,11.100000
FIXED,packingsolver_upstream_box,box portfolio,10.0,8,90,10,14.700000
FIXED,packingsolver_upstream_box,box portfolio,10.0,9,30,10,3.000000
FIXED,packingsolver_upstream_box,box portfolio,10.0,9,60,10,3.900000
FIXED,packingsolver_upstream_box,box portfolio,10.0,9,90,10,4.000000
FIXED,rust_brkga,brkga,1.0,1,30,10,9.300000
FIXED,rust_brkga,brkga,1.0,1,60,10,17.100000
FIXED,rust_brkga,brkga,1.0,1,90,10,27.400000
FIXED,rust_brkga,brkga,1.0,6,30,10,1.400000
FIXED,rust_brkga,brkga,1.0,6,60,10,2.000000
FIXED,rust_brkga,brkga,1.0,6,90,10,2.000000
FIXED,rust_brkga,brkga,1.0,7,30,10,1.500000
FIXED,rust_brkga,brkga,1.0,7,60,10,2.100000
FIXED,rust_brkga,brkga,1.0,7,90,10,2.400000
FIXED,rust_brkga,brkga,1.0,8,30,10,7.400000
FIXED,rust_brkga,brkga,1.0,8,60,10,15.000000
FIXED,rust_brkga,brkga,1.0,8,90,10,19.700000
FIXED,rust_brkga,brkga,1.0,9,30,10,5.100000
FIXED,rust_brkga,brkga,1.0,9,60,10,5.700000
FIXED,rust_brkga,brkga,1.0,9,90,10,6.800000
