problem_variant,time_limit_s,item_order,implementation_id,adapter,participating_implementations,source_instances,common_valid_instances,common_instance_set_sha256,valid_on_source_instances,invalid_certificates,no_solution,mean_volume_utilization,median_volume_utilization,p95_volume_utilization
RELAXED_ALL_ROTATIONS,10.0,ASCENDING,rust_extreme_point,thpack_external_projection_v1,8,900,855,7ee49dc106a094652847aabdf04fc247cc6f6da21c165f14c0c49f40db992181,900,0,0,0.8231223929562373,0.8266683328004807,0.8534053271526859
RELAXED_ALL_ROTATIONS,10.0,ASCENDING,go_bp3d,thpack_external_projection_v1,8,900,855,7ee49dc106a094652847aabdf04fc247cc6f6da21c165f14c0c49f40db992181,899,0,1,0.7367514115561159,0.7355774848602276,0.7872196458446468
RELAXED_ALL_ROTATIONS,10.0,ASCENDING,jerry,b07_python_projection_nofix_v1,8,900,855,7ee49dc106a094652847aabdf04fc247cc6f6da21c165f14c0c49f40db992181,855,0,45,0.5172074309117212,0.5030798993141157,0.7238376556433747
RELAXED_ALL_ROTATIONS,10.0,ASCENDING,py3dbp,b07_python_projection_v1,8,900,855,7ee49dc106a094652847aabdf04fc247cc6f6da21c165f14c0c49f40db992181,858,0,42,0.5172074309117212,0.5030798993141157,0.7238376556433747
RELAXED_ALL_ROTATIONS,10.0,ASCENDING,rust_ga,thpack_external_projection_v1,8,900,855,7ee49dc106a094652847aabdf04fc247cc6f6da21c165f14c0c49f40db992181,900,0,0,0.48989935477389923,0.4870351303871568,0.5613821643477053
RELAXED_ALL_ROTATIONS,10.0,ASCENDING,rust_brkga,thpack_external_projection_v1,8,900,855,7ee49dc106a094652847aabdf04fc247cc6f6da21c165f14c0c49f40db992181,900,0,0,0.4405432854851995,0.43333435251093233,0.5242514860606415
RELAXED_ALL_ROTATIONS,10.0,ASCENDING,rust_sa,thpack_external_projection_v1,8,900,855,7ee49dc106a094652847aabdf04fc247cc6f6da21c165f14c0c49f40db992181,900,0,0,0.4286366166232974,0.42461656212341664,0.49020313317349967
RELAXED_ALL_ROTATIONS,10.0,ASCENDING,rust_layer,thpack_external_projection_v1,8,900,855,7ee49dc106a094652847aabdf04fc247cc6f6da21c165f14c0c49f40db992181,900,0,0,0.3581269955614971,0.343737906959277,0.5039714027628133
RELAXED_ALL_ROTATIONS,10.0,DESCENDING,rust_extreme_point,thpack_external_projection_v1,8,900,859,e5ab67672bcfb95a8ec4fcbe82ddfb40c7df0dac91555cfd1956b1585fd62264,900,0,0,0.8230245186312762,0.8266037922712217,0.8534053271526859
RELAXED_ALL_ROTATIONS,10.0,DESCENDING,jerry,b07_python_projection_nofix_v1,8,900,859,e5ab67672bcfb95a8ec4fcbe82ddfb40c7df0dac91555cfd1956b1585fd62264,859,0,41,0.7743663857351357,0.7736640741890393,0.8181024220312519
RELAXED_ALL_ROTATIONS,10.0,DESCENDING,py3dbp,b07_python_projection_v1,8,900,859,e5ab67672bcfb95a8ec4fcbe82ddfb40c7df0dac91555cfd1956b1585fd62264,860,0,40,0.7743663857351357,0.7736640741890393,0.8181024220312519
RELAXED_ALL_ROTATIONS,10.0,DESCENDING,go_bp3d,thpack_external_projection_v1,8,900,859,e5ab67672bcfb95a8ec4fcbe82ddfb40c7df0dac91555cfd1956b1585fd62264,899,0,1,0.7365031089635566,0.73527661698619,0.7873319769408853
RELAXED_ALL_ROTATIONS,10.0,DESCENDING,rust_layer,thpack_external_projection_v1,8,900,859,e5ab67672bcfb95a8ec4fcbe82ddfb40c7df0dac91555cfd1956b1585fd62264,900,0,0,0.5646379866272968,0.5666050950460657,0.6646843662365959
RELAXED_ALL_ROTATIONS,10.0,DESCENDING,rust_ga,thpack_external_projection_v1,8,900,859,e5ab67672bcfb95a8ec4fcbe82ddfb40c7df0dac91555cfd1956b1585fd62264,900,0,0,0.4905885144296594,0.48847954876133365,0.5703606094061673
RELAXED_ALL_ROTATIONS,10.0,DESCENDING,rust_brkga,thpack_external_projection_v1,8,900,859,e5ab67672bcfb95a8ec4fcbe82ddfb40c7df0dac91555cfd1956b1585fd62264,900,0,0,0.43981592609500164,0.4312661974461625,0.5236192414527003
RELAXED_ALL_ROTATIONS,10.0,DESCENDING,rust_sa,thpack_external_projection_v1,8,900,859,e5ab67672bcfb95a8ec4fcbe82ddfb40c7df0dac91555cfd1956b1585fd62264,900,0,0,0.4267810524140086,0.42300072250829357,0.4943724779508681
