source_group,time_limit_s,left,right,common_instances,valid_comparable_instances,fork_wins,ties,upstream_wins,mean_fork_utilization,mean_upstream_utilization,mean_delta_upstream_minus_fork,median_delta_upstream_minus_fork
BR0,1.0,packingsolver_fork_box,packingsolver_upstream_box,100,100,0,98,2,0.9080126465538615,0.9080702823764475,5.76358225859952e-05,0.0
BR0,10.0,packingsolver_fork_box,packingsolver_upstream_box,100,100,0,99,1,0.9097997937494724,0.9098309008222769,3.110707280450931e-05,0.0
BR10,1.0,packingsolver_fork_box,packingsolver_upstream_box,100,100,0,100,0,0.0,0.0,0.0,0.0
BR10,10.0,packingsolver_fork_box,packingsolver_upstream_box,100,100,4,95,1,0.9567004910663545,0.956684141906744,-1.6349159610523632e-05,0.0
BR11,1.0,packingsolver_fork_box,packingsolver_upstream_box,100,100,0,100,0,0.0,0.0,0.0,0.0
BR11,10.0,packingsolver_fork_box,packingsolver_upstream_box,100,100,7,93,0,0.9550951205099965,0.9550369665685376,-5.815394145888164e-05,0.0
BR12,1.0,packingsolver_fork_box,packingsolver_upstream_box,100,100,0,100,0,0.0,0.0,0.0,0.0
BR12,10.0,packingsolver_fork_box,packingsolver_upstream_box,100,100,12,88,0,0.9540631972088714,0.9538974004989096,-0.00016579670996177186,0.0
BR13,1.0,packingsolver_fork_box,packingsolver_upstream_box,100,100,0,100,0,0.0,0.0,0.0,0.0
BR13,10.0,packingsolver_fork_box,packingsolver_upstream_box,100,100,16,84,0,0.9523560879133735,0.9520871519813144,-0.0002689359320589624,0.0
BR14,1.0,packingsolver_fork_box,packingsolver_upstream_box,100,100,0,100,0,0.0,0.0,0.0,0.0
BR14,10.0,packingsolver_fork_box,packingsolver_upstream_box,100,100,11,89,0,0.9503432269998757,0.9502159558678375,-0.00012727113203822582,0.0
BR15,1.0,packingsolver_fork_box,packingsolver_upstream_box,100,100,0,100,0,0.0,0.0,0.0,0.0
BR15,10.0,packingsolver_fork_box,packingsolver_upstream_box,100,100,2,98,0,0.9489669663491928,0.9489524932518257,-1.4473097367132537e-05,0.0
BR8,1.0,packingsolver_fork_box,packingsolver_upstream_box,100,100,0,100,0,0.0,0.0,0.0,0.0
BR8,10.0,packingsolver_fork_box,packingsolver_upstream_box,100,100,0,90,10,0.9599402428478657,0.9601051545350191,0.00016491168715324523,0.0
BR9,1.0,packingsolver_fork_box,packingsolver_upstream_box,100,100,0,100,0,0.0,0.0,0.0,0.0
BR9,10.0,packingsolver_fork_box,packingsolver_upstream_box,100,100,1,98,1,0.9575775433521594,0.957582482264648,4.938912488758885e-06,0.0
