benchmark_id,implementation_id,records,valid_complete,valid_partial,no_solution,invalid_certificate,constraint_violation,process_errors,expected_behavior_pass_rate
B09,exact_cp_sat,4,4,0,0,0,0,0,
B09,exact_cplex,4,4,0,0,0,0,0,
B09,exact_gurobi,4,4,0,0,0,0,0,
B09,exact_scip,4,4,0,0,0,0,0,
B09,go_bp3d,2,2,0,0,0,0,0,
B09,jerry,2,2,0,0,0,0,0,
B09,packingsolver_fork_box,4,4,0,0,0,0,0,1.0
B09,packingsolver_fork_boxstacks,3,3,0,0,0,0,0,1.0
B09,packingsolver_upstream_boxstacks,2,2,0,0,0,0,0,1.0
B09,py3dbp,2,2,0,0,0,0,0,
B09,rust_brkga,2,2,0,0,0,0,0,
B09,rust_extreme_point,2,2,0,0,0,0,0,
B09,rust_ga,2,2,0,0,0,0,0,
B09,rust_layer,2,2,0,0,0,0,0,
B09,rust_sa,2,2,0,0,0,0,0,
B09,packingsolver_upstream_box,4,3,0,0,1,0,1,0.75
B12,go_bp3d,2,1,0,0,0,1,0,
B12,jerry,2,1,0,0,0,1,0,
B12,packingsolver_fork_box,4,2,0,2,0,0,0,1.0
B12,packingsolver_upstream_box,4,2,0,2,0,0,0,1.0
B12,py3dbp,2,1,0,0,0,1,0,
B12,rust_extreme_point,4,2,0,1,0,1,0,1.0
B12,rust_brkga,4,1,0,1,1,1,0,1.0
B12,rust_sa,4,1,0,1,2,0,0,1.0
B12,rust_ga,4,0,0,1,3,0,0,0.5
B12,rust_layer,4,0,0,1,3,0,0,0.5
B13,go_bp3d,1,0,0,0,0,1,0,
B13,jerry,1,0,0,0,0,1,0,
B13,packingsolver_fork_box,2,2,0,0,0,0,0,1.0
B13,packingsolver_upstream_box,2,2,0,0,0,0,0,1.0
B13,py3dbp,1,0,0,0,0,1,0,
B13,rust_brkga,2,2,0,0,0,0,0,1.0
B13,rust_extreme_point,2,2,0,0,0,0,0,1.0
B13,rust_ga,2,2,0,0,0,0,0,1.0
B13,rust_layer,2,2,0,0,0,0,0,1.0
B13,rust_sa,2,2,0,0,0,0,0,1.0
B14,packingsolver_fork_boxstacks,6,6,0,0,0,0,0,1.0
B14,packingsolver_upstream_boxstacks,3,3,0,0,0,0,0,1.0
B15,go_bp3d,3,1,0,0,0,2,0,
B15,jerry,3,1,0,0,0,2,0,
B15,packingsolver_fork_boxstacks,6,2,0,4,0,0,0,1.0
B15,py3dbp,3,1,0,0,0,2,0,
B15,rust_brkga,3,1,0,0,0,2,0,
B15,rust_extreme_point,3,1,0,0,0,2,0,
B15,rust_ga,3,1,0,0,0,2,0,
B15,rust_layer,3,1,0,0,0,2,0,
B15,rust_sa,3,1,0,0,0,2,0,
B15,packingsolver_upstream_boxstacks,3,1,0,2,0,0,2,0.3333333333333333
B16,go_bp3d,1,0,0,0,0,1,0,
B16,jerry,1,0,0,0,0,1,0,
B16,py3dbp,1,0,0,0,0,1,0,
B16,rust_brkga,1,0,0,0,0,1,0,
B16,rust_extreme_point,1,0,0,0,0,1,0,
B16,rust_ga,1,0,0,0,0,1,0,
B16,rust_layer,1,0,0,0,0,1,0,
B16,rust_sa,1,0,0,0,0,1,0,
B17,go_bp3d,2,1,0,0,0,1,0,
B17,jerry,2,1,0,0,0,1,0,
B17,packingsolver_fork_boxstacks,4,4,0,0,0,0,0,1.0
B17,packingsolver_upstream_boxstacks,2,2,0,0,0,0,0,1.0
B17,py3dbp,2,1,0,0,0,1,0,
B17,rust_brkga,2,2,0,0,0,0,0,
B17,rust_extreme_point,2,1,0,0,0,1,0,
B17,rust_ga,2,2,0,0,0,0,0,
B17,rust_layer,2,1,0,0,0,1,0,
B17,rust_sa,2,1,0,0,0,1,0,
B18,go_bp3d,1,0,0,0,0,1,0,
B18,jerry,1,0,0,0,0,1,0,
B18,py3dbp,1,0,0,0,0,1,0,
B18,rust_brkga,1,0,0,0,0,1,0,
B18,rust_extreme_point,1,0,0,0,0,1,0,
B18,rust_ga,1,0,0,0,0,1,0,
B18,rust_layer,1,0,0,0,0,1,0,
B18,rust_sa,1,0,0,0,0,1,0,
