benchmark_id,implementation_id,instances,valid_or_proven_infeasible,proven,proof_rate,mean_solver_s,max_solver_s,mean_gap
B03,exact_cp_sat,20,20,13,0.65,8.099553853156976,20.005199891980737,0.0
B04,exact_cp_sat,1,1,1,1.0,14.397816034965217,14.397816034965217,0.0
B04,exact_scip,1,0,0,0.0,0.5615988029167056,0.5615988029167056,
B04,exact_cplex,1,0,0,0.0,0.0,0.0,
B04,exact_gurobi,1,0,0,0.0,0.0,0.0,
B06,exact_gurobi,5,5,5,1.0,0.001880212826654315,0.005799134960398078,0.0
B06,exact_cplex,5,5,5,1.0,0.0049159091897308825,0.011470749042928219,0.0
B06,exact_cp_sat,5,5,5,1.0,0.005663016811013222,0.018133177189156413,0.0
B06,exact_scip,5,5,5,1.0,0.014311790000647306,0.051640041172504425,0.0
B07,exact_cp_sat,4,4,0,0.0,20.003558386233635,20.005545540014282,0.2542530487804878
B07,exact_scip,4,4,0,0.0,20.00623572577024,20.009893889073282,0.6645630081300813
B07,exact_cplex,4,0,0,0.0,0.0,0.0,
B07,exact_gurobi,4,0,0,0.0,0.0,0.0,
B09,exact_gurobi,2,2,2,1.0,0.000738653470762074,0.0007764589972794056,0.0
B09,exact_cp_sat,2,2,2,1.0,0.0012522758916020393,0.0013245819136500359,0.0
B09,exact_scip,2,2,2,1.0,0.0015632385620847344,0.001569471089169383,0.0
B09,exact_cplex,2,2,2,1.0,0.0022515534656122327,0.0027049309574067593,0.0
