left,right,source_common_instances,valid_comparable_instances,left_wins,ties,left_losses
go_bp3d,jerry,44,43,1,24,18
go_bp3d,packingsolver_fork_box,44,44,0,10,34
go_bp3d,py3dbp,44,44,1,27,16
go_bp3d,rust_extreme_point,44,44,2,26,16
go_bp3d,skjolber_laff,44,44,20,15,9
go_bp3d,skjolber_plain,44,44,6,20,18
jerry,packingsolver_fork_box,44,43,0,13,30
jerry,py3dbp,44,43,3,40,0
jerry,rust_extreme_point,44,43,2,38,3
jerry,skjolber_laff,44,43,26,13,4
jerry,skjolber_plain,44,43,10,23,10
packingsolver_fork_box,py3dbp,44,44,32,12,0
packingsolver_fork_box,rust_extreme_point,44,44,31,13,0
packingsolver_fork_box,skjolber_laff,44,44,37,7,0
packingsolver_fork_box,skjolber_plain,44,44,29,15,0
py3dbp,rust_extreme_point,44,44,1,39,4
py3dbp,skjolber_laff,44,44,24,16,4
py3dbp,skjolber_plain,44,44,9,23,12
rust_extreme_point,skjolber_laff,44,44,24,15,5
rust_extreme_point,skjolber_plain,44,44,10,23,11
skjolber_laff,skjolber_plain,44,44,0,17,27
