benchmark_id,implementation_id,policy,comparison_track,problem_scope,cases,valid_complete,invalid_certificate,constraint_violation,no_solution,complete_rate,mean_bins_used,mean_total_cost,mean_decision_latency_p95_s,mean_deadline_hit_rate,mean_candidate_failures
B32,rust_extreme_point,LOOKAHEAD_2,COMPOSED,GEOMETRY_PROJECTION,2,2,0,0,0,1.0,2.5,2.5,0.0033064604504033923,1.0,2.5
B32,rust_layer,LOOKAHEAD_2,COMPOSED,GEOMETRY_PROJECTION,2,2,0,0,0,1.0,2.5,2.5,0.0034426358761265874,1.0,2.5
B32,go_bp3d,LOOKAHEAD_2,COMPOSED,GEOMETRY_PROJECTION,2,2,0,0,0,1.0,2.5,2.5,0.003809252055361867,1.0,2.5
B32,rust_ga,LOOKAHEAD_2,COMPOSED,GEOMETRY_PROJECTION,2,2,0,0,0,1.0,2.5,2.5,0.009856212884187698,1.0,2.5
B32,rust_sa,LOOKAHEAD_2,COMPOSED,GEOMETRY_PROJECTION,2,2,0,0,0,1.0,2.5,2.5,0.01008061203174293,1.0,2.5
B32,py3dbp,LOOKAHEAD_2,COMPOSED,GEOMETRY_PROJECTION,2,2,0,0,0,1.0,2.5,2.5,0.1657370524480939,1.0,2.5
B32,jerry,LOOKAHEAD_2,COMPOSED,GEOMETRY_PROJECTION,2,2,0,0,0,1.0,2.5,2.5,0.9987786504207179,0.9375,2.5
B32,rust_brkga,LOOKAHEAD_2,COMPOSED,GEOMETRY_PROJECTION,2,2,0,0,0,1.0,3.5,3.5,0.007344431011006236,1.0,5.0
B32,rust_extreme_point,NO_REORDER,COMPOSED,GEOMETRY_PROJECTION,2,2,0,0,0,1.0,2.5,2.5,0.003283217432908714,1.0,2.5
B32,go_bp3d,NO_REORDER,COMPOSED,GEOMETRY_PROJECTION,2,2,0,0,0,1.0,2.5,2.5,0.003919753013178706,1.0,2.5
B32,rust_ga,NO_REORDER,COMPOSED,GEOMETRY_PROJECTION,2,2,0,0,0,1.0,2.5,2.5,0.009965665987692773,1.0,2.5
B32,rust_sa,NO_REORDER,COMPOSED,GEOMETRY_PROJECTION,2,2,0,0,0,1.0,2.5,2.5,0.009999520028941333,1.0,2.5
B32,py3dbp,NO_REORDER,COMPOSED,GEOMETRY_PROJECTION,2,2,0,0,0,1.0,2.5,2.5,0.16994060191791505,1.0,2.5
B32,jerry,NO_REORDER,COMPOSED,GEOMETRY_PROJECTION,2,2,0,0,0,1.0,2.5,2.5,0.9934257754357532,0.9375,2.5
B32,rust_layer,NO_REORDER,COMPOSED,GEOMETRY_PROJECTION,2,2,0,0,0,1.0,3.0,3.0,0.004029448959045112,1.0,4.0
B32,rust_brkga,NO_REORDER,COMPOSED,GEOMETRY_PROJECTION,2,2,0,0,0,1.0,3.0,3.0,0.007210819516330957,1.0,3.5
B32,rust_layer,OFFLINE_REBUILD,COMPOSED,GEOMETRY_PROJECTION,2,2,0,0,0,1.0,2.5,2.5,0.003487801062874496,1.0,9.5
B32,rust_extreme_point,OFFLINE_REBUILD,COMPOSED,GEOMETRY_PROJECTION,2,2,0,0,0,1.0,2.5,2.5,0.0038179970579221845,1.0,9.5
B32,go_bp3d,OFFLINE_REBUILD,COMPOSED,GEOMETRY_PROJECTION,2,2,0,0,0,1.0,2.5,2.5,0.005085928016342223,1.0,9.5
B32,rust_sa,OFFLINE_REBUILD,COMPOSED,GEOMETRY_PROJECTION,2,2,0,0,0,1.0,2.5,2.5,0.010467572486959398,1.0,9.5
B32,rust_ga,OFFLINE_REBUILD,COMPOSED,GEOMETRY_PROJECTION,2,2,0,0,0,1.0,2.5,2.5,0.010519598959945142,1.0,9.5
B32,py3dbp,OFFLINE_REBUILD,COMPOSED,GEOMETRY_PROJECTION,2,2,0,0,0,1.0,2.5,2.5,0.16921059845481068,1.0,9.5
B32,jerry,OFFLINE_REBUILD,COMPOSED,GEOMETRY_PROJECTION,2,2,0,0,0,1.0,2.5,2.5,1.0002758025657386,0.625,9.5
B32,rust_brkga,OFFLINE_REBUILD,COMPOSED,GEOMETRY_PROJECTION,2,2,0,0,0,1.0,3.0,3.0,0.006747110979631543,1.0,10.0
