benchmark_id,problem_variant,problem_scope,comparison_track,implementation_id,time_limit_s,adapter,rank_scope,planned_records,valid_records,invalid_records,valid_rate,mean_used_length,median_used_length,p95_used_length,mean_wall_s,mean_open_dimension_bound
B11,OPEN_DIMENSION_X,FULL_PROBLEM,NATIVE,packingsolver_fork_box,10.0,b11_open_dimension_fork_fixture_v1,PER_SUPPORTED_INSTANCE_SET,3,3,0,1.0,30.0,40.0,40.0,1.0032987683080137,28.666666666666668
B11,OPEN_DIMENSION_X,FULL_PROBLEM,NATIVE,packingsolver_upstream_box,10.0,b11_open_dimension_fork_fixture_v1,PER_SUPPORTED_INSTANCE_SET,3,3,0,1.0,30.0,40.0,40.0,1.0033233063295484,28.666666666666668
B11,OPEN_DIMENSION_X_PROJECTION,GEOMETRY_PROJECTION,COMPOSED,rust_extreme_point,0.1,b11_open_dimension_outer_search_v1,PER_SUPPORTED_INSTANCE_SET,3,3,0,1.0,30.0,40.0,40.0,0.10910705096709232,30.0
B11,OPEN_DIMENSION_X_PROJECTION,GEOMETRY_PROJECTION,COMPOSED,go_bp3d,0.1,b11_open_dimension_outer_search_v1,PER_SUPPORTED_INSTANCE_SET,3,3,0,1.0,40.0,50.0,50.0,0.12854394409805536,40.0
B11,OPEN_DIMENSION_X_PROJECTION,GEOMETRY_PROJECTION,COMPOSED,jerry,0.1,b11_open_dimension_outer_search_v1,PER_SUPPORTED_INSTANCE_SET,3,3,0,1.0,40.0,50.0,50.0,36.08213823498227,40.0
B11,OPEN_DIMENSION_X_PROJECTION,GEOMETRY_PROJECTION,COMPOSED,py3dbp,0.1,b11_open_dimension_outer_search_v1,PER_SUPPORTED_INSTANCE_SET,3,3,0,1.0,40.0,50.0,50.0,6.057019388225551,40.0
B11,OPEN_DIMENSION_X_PROJECTION,GEOMETRY_PROJECTION,COMPOSED,rust_ga,0.1,b11_open_dimension_outer_search_v1,PER_SUPPORTED_INSTANCE_SET,3,3,0,1.0,40.0,50.0,50.0,0.3517945692874491,40.0
B11,OPEN_DIMENSION_X_PROJECTION,GEOMETRY_PROJECTION,COMPOSED,rust_sa,0.1,b11_open_dimension_outer_search_v1,PER_SUPPORTED_INSTANCE_SET,3,3,0,1.0,40.0,50.0,50.0,0.37114124566627044,40.0
B11,OPEN_DIMENSION_X_PROJECTION,GEOMETRY_PROJECTION,COMPOSED,rust_brkga,0.1,b11_open_dimension_outer_search_v1,PER_SUPPORTED_INSTANCE_SET,3,3,0,1.0,50.0,50.0,80.0,0.19750685174949467,50.0
B11,OPEN_DIMENSION_X_PROJECTION,GEOMETRY_PROJECTION,COMPOSED,rust_layer,0.1,b11_open_dimension_outer_search_v1,PER_SUPPORTED_INSTANCE_SET,3,2,1,0.6666666666666666,45.0,45.0,60.0,0.10825880407355726,45.0
B11,OPEN_DIMENSION_X,FULL_PROBLEM,NATIVE,packingsolver_fork_boxstacks,10.0,b11_open_dimension_fork_fixture_v1,PER_SUPPORTED_INSTANCE_SET,3,0,3,0.0,,,,,
B11,OPEN_DIMENSION_X,FULL_PROBLEM,NATIVE,packingsolver_upstream_boxstacks,10.0,b11_open_dimension_fork_fixture_v1,PER_SUPPORTED_INSTANCE_SET,3,0,3,0.0,,,,,
