problem_variant,time_limit_s,left,right,common_valid_instances,left_wins,ties,left_losses
FIXED_XYZ,1.0,packingsolver_fork_box,packingsolver_upstream_box,60,6,49,5
FIXED_XYZ,1.0,packingsolver_fork_box,rust_brkga,60,51,2,7
FIXED_XYZ,1.0,packingsolver_fork_box,rust_extreme_point,60,42,11,7
FIXED_XYZ,1.0,packingsolver_fork_box,rust_ga,60,50,2,8
FIXED_XYZ,1.0,packingsolver_fork_box,rust_layer,60,53,0,7
FIXED_XYZ,1.0,packingsolver_fork_box,rust_sa,60,49,3,8
FIXED_XYZ,1.0,packingsolver_upstream_box,rust_brkga,60,51,2,7
FIXED_XYZ,1.0,packingsolver_upstream_box,rust_extreme_point,60,41,12,7
FIXED_XYZ,1.0,packingsolver_upstream_box,rust_ga,60,51,2,7
FIXED_XYZ,1.0,packingsolver_upstream_box,rust_layer,60,53,0,7
FIXED_XYZ,1.0,packingsolver_upstream_box,rust_sa,60,50,3,7
FIXED_XYZ,1.0,rust_brkga,rust_extreme_point,60,13,2,45
FIXED_XYZ,1.0,rust_brkga,rust_ga,60,17,7,36
FIXED_XYZ,1.0,rust_brkga,rust_layer,60,52,0,8
FIXED_XYZ,1.0,rust_brkga,rust_sa,60,11,9,40
FIXED_XYZ,1.0,rust_extreme_point,rust_ga,60,41,2,17
FIXED_XYZ,1.0,rust_extreme_point,rust_layer,60,59,0,1
FIXED_XYZ,1.0,rust_extreme_point,rust_sa,60,42,2,16
FIXED_XYZ,1.0,rust_ga,rust_layer,60,50,0,10
FIXED_XYZ,1.0,rust_ga,rust_sa,60,20,12,28
FIXED_XYZ,1.0,rust_layer,rust_sa,60,8,0,52
FIXED_XYZ,10.0,packingsolver_fork_box,packingsolver_upstream_box,60,3,56,1
FIXED_XYZ,10.0,packingsolver_fork_box,rust_brkga,60,58,2,0
FIXED_XYZ,10.0,packingsolver_fork_box,rust_extreme_point,60,49,11,0
FIXED_XYZ,10.0,packingsolver_fork_box,rust_ga,60,58,2,0
FIXED_XYZ,10.0,packingsolver_fork_box,rust_layer,60,60,0,0
FIXED_XYZ,10.0,packingsolver_fork_box,rust_sa,60,57,3,0
FIXED_XYZ,10.0,packingsolver_upstream_box,rust_brkga,60,58,2,0
FIXED_XYZ,10.0,packingsolver_upstream_box,rust_extreme_point,60,49,11,0
FIXED_XYZ,10.0,packingsolver_upstream_box,rust_ga,60,58,2,0
FIXED_XYZ,10.0,packingsolver_upstream_box,rust_layer,60,60,0,0
FIXED_XYZ,10.0,packingsolver_upstream_box,rust_sa,60,57,3,0
FIXED_XYZ,10.0,rust_brkga,rust_extreme_point,60,14,2,44
FIXED_XYZ,10.0,rust_brkga,rust_ga,60,17,10,33
FIXED_XYZ,10.0,rust_brkga,rust_layer,60,52,0,8
FIXED_XYZ,10.0,rust_brkga,rust_sa,60,13,8,39
FIXED_XYZ,10.0,rust_extreme_point,rust_ga,60,40,2,18
FIXED_XYZ,10.0,rust_extreme_point,rust_layer,60,59,0,1
FIXED_XYZ,10.0,rust_extreme_point,rust_sa,60,43,2,15
FIXED_XYZ,10.0,rust_ga,rust_layer,60,52,0,8
FIXED_XYZ,10.0,rust_ga,rust_sa,60,20,11,29
FIXED_XYZ,10.0,rust_layer,rust_sa,60,8,0,52
RELAXED_ALL_ROTATIONS,1.0,go_bp3d,jerry,59,2,18,39
RELAXED_ALL_ROTATIONS,1.0,go_bp3d,py3dbp,60,1,24,35
RELAXED_ALL_ROTATIONS,1.0,jerry,py3dbp,59,18,34,7
RELAXED_ALL_ROTATIONS,10.0,go_bp3d,jerry,60,2,18,40
RELAXED_ALL_ROTATIONS,10.0,go_bp3d,py3dbp,60,1,24,35
RELAXED_ALL_ROTATIONS,10.0,jerry,py3dbp,60,18,34,8
