problem_variant,implementation_id,comparison_track,time_limit_s,instances,valid_instances,invalid_instances,valid_rate,mean_packed_profit,mean_profit_fraction,median_profit_fraction,p95_profit_fraction,mean_solver_s,p95_solver_s,candidate_invalid_count
FIXED_XYZ,rust_extreme_point,COMPOSED,1.0,60,60,0,1.0,4093214.7666666666,0.4613552695590106,0.4067159212790922,0.7017123275212904,0.00013909186666666667,0.000303241,0
FIXED_XYZ,packingsolver_upstream_box,NATIVE,1.0,60,60,0,1.0,4102518.0166666666,0.44975792515751106,0.42326993411095604,0.7607106636517784,1.11793274265,1.559063143,0
FIXED_XYZ,packingsolver_fork_box,NATIVE,1.0,60,60,0,1.0,4092957.7666666666,0.4442078960341265,0.42326993411095604,0.7538343419659345,1.1464366348833332,1.920694254,0
FIXED_XYZ,rust_sa,COMPOSED,1.0,60,60,0,1.0,3869682.6333333333,0.40781259621983573,0.35198167697833416,0.6158119114380922,0.02299571035,0.03965117,0
FIXED_XYZ,rust_ga,COMPOSED,1.0,60,60,0,1.0,3890075.033333333,0.40251597226604924,0.3543880283073403,0.6275751902067082,0.058532850049999995,0.148543086,0
FIXED_XYZ,rust_brkga,COMPOSED,1.0,60,60,0,1.0,3728940.5833333335,0.39059527171587016,0.33957772413397136,0.589641908626564,0.017502561716666667,0.035906566,0
FIXED_XYZ,rust_layer,COMPOSED,1.0,60,60,0,1.0,2809239.466666667,0.3137668894574083,0.2811529635987689,0.480544626834137,3.933691666666667e-05,6.7514e-05,0
FIXED_XYZ,packingsolver_fork_box,NATIVE,10.0,60,60,0,1.0,4764264.133333334,0.5217037778894453,0.4582136572248995,0.7723478375710059,9.252200400066666,10.590823985,0
FIXED_XYZ,packingsolver_upstream_box,NATIVE,10.0,60,60,0,1.0,4757478.883333334,0.521366406737532,0.45546561287963283,0.7723478375710059,9.2357208085,10.424785835,0
FIXED_XYZ,rust_extreme_point,COMPOSED,10.0,60,60,0,1.0,4093214.7666666666,0.4613552695590106,0.4067159212790922,0.7017123275212904,0.00018259975,0.000429791,0
FIXED_XYZ,rust_sa,COMPOSED,10.0,60,60,0,1.0,3870032.3,0.4058939221131596,0.3613973554734258,0.6217436262656044,0.02278045385,0.038094149,0
FIXED_XYZ,rust_ga,COMPOSED,10.0,60,60,0,1.0,3860553.0,0.4036260889023692,0.3412711869337545,0.6226263045449278,0.057303767066666664,0.170997812,0
FIXED_XYZ,rust_brkga,COMPOSED,10.0,60,60,0,1.0,3743976.9,0.38444851153142573,0.3426822221990654,0.6096381531707191,0.018312889583333332,0.0363591,0
FIXED_XYZ,rust_layer,COMPOSED,10.0,60,60,0,1.0,2809239.466666667,0.3137668894574083,0.2811529635987689,0.480544626834137,3.9725183333333334e-05,6.1584e-05,0
RELAXED_ALL_ROTATIONS,py3dbp,COMPOSED,1.0,60,60,0,1.0,4376297.016666667,0.5046729680552294,0.4510508533160534,0.7548889584461128,0.08759009397278229,0.24028079700656235,0
RELAXED_ALL_ROTATIONS,go_bp3d,COMPOSED,1.0,60,60,0,1.0,4125233.9166666665,0.47613259164591926,0.4192795844465613,0.7272389946487491,0.0003836598,0.001281568,0
RELAXED_ALL_ROTATIONS,jerry,COMPOSED,1.0,60,59,1,0.9833333333333333,4352772.661016949,0.5006332328489378,0.44829897625182813,0.7802123748521633,0.5165211042247208,0.7912876629270613,3
RELAXED_ALL_ROTATIONS,py3dbp,COMPOSED,10.0,60,60,0,1.0,4376297.016666667,0.5046729680552294,0.4510508533160534,0.7548889584461128,0.08633464468099798,0.24736372893676162,0
RELAXED_ALL_ROTATIONS,jerry,COMPOSED,10.0,60,60,0,1.0,4425074.616666666,0.503161801790626,0.4510508533160534,0.7721922279890425,0.5034579688566737,0.7732447520829737,3
RELAXED_ALL_ROTATIONS,go_bp3d,COMPOSED,10.0,60,60,0,1.0,4125233.9166666665,0.47613259164591926,0.4192795844465613,0.7272389946487491,0.00048473958333333333,0.0013944399999999998,0
