benchmark_id,implementation_id,fault_cases,handled_cases,fault_recovery_rate,invalid_input_status,cancel_status,cancel_latency_s
B29,exact_cp_sat,2,2,1.0,ERROR,CANCELLED,0.02091990690678358
B29,exact_cplex,2,2,1.0,ERROR,CANCELLED,0.0208461401052773
B29,exact_gurobi,2,2,1.0,ERROR,CANCELLED,0.02088909805752337
B29,exact_scip,2,2,1.0,ERROR,CANCELLED,0.020923132076859474
B29,go_bp3d,2,2,1.0,ERROR,CANCELLED,0.020698396023362875
B29,jerry,2,2,1.0,ERROR,CANCELLED,0.020923634991049767
B29,packingsolver_fork_box,2,2,1.0,COMPLETED,CANCELLED,0.020860051037743688
B29,packingsolver_fork_boxstacks,2,1,0.5,COMPLETED,COMPLETED,0.006060415878891945
B29,packingsolver_upstream_box,2,2,1.0,COMPLETED,CANCELLED,0.020907359896227717
B29,packingsolver_upstream_boxstacks,2,1,0.5,COMPLETED,COMPLETED,0.00590794812887907
B29,py3dbp,2,2,1.0,ERROR,CANCELLED,0.020853737136349082
B29,rust_brkga,2,2,1.0,ERROR,CANCELLED,0.020653229905292392
B29,rust_extreme_point,2,2,1.0,ERROR,CANCELLED,0.020779507933184505
B29,rust_ga,2,2,1.0,ERROR,CANCELLED,0.020689029013738036
B29,rust_layer,2,1,0.5,ERROR,COMPLETED,0.0076868790201842785
B29,rust_sa,2,2,1.0,ERROR,CANCELLED,0.02061748900450766
B29,skjolber_fast_bruteforce,2,1,0.5,CANCELLED,CANCELLED,0.03923468408174813
B29,skjolber_laff,2,2,1.0,COMPLETED,CANCELLED,0.039674754021689296
B29,skjolber_plain,2,2,1.0,COMPLETED,CANCELLED,0.04851151118054986
