benchmark_id,implementation_id,cases,passing_cases,expected_cost_rate,numeric_consistency_rate,invalid_or_missing
B25,exact_cp_sat,3,3,1.0,,0
B25,exact_cplex,3,3,1.0,,0
B25,exact_gurobi,3,3,1.0,,0
B25,exact_scip,3,3,1.0,,0
B25,packingsolver_fork_box,3,3,1.0,,0
B25,packingsolver_fork_boxstacks,3,3,1.0,,0
B25,packingsolver_upstream_box,3,0,0.0,,3
B25,packingsolver_upstream_boxstacks,3,0,0.0,,3
B26,exact_cp_sat,2,2,,1.0,0
B26,exact_cplex,2,2,,1.0,0
B26,exact_gurobi,2,2,,1.0,0
B26,exact_scip,2,2,,1.0,0
B26,go_bp3d,2,2,,1.0,0
B26,jerry,2,2,,1.0,0
B26,packingsolver_fork_box,2,2,,1.0,0
B26,packingsolver_fork_boxstacks,2,2,,1.0,0
B26,packingsolver_upstream_box,2,2,,1.0,0
B26,packingsolver_upstream_boxstacks,2,0,,0.0,2
B26,py3dbp,2,2,,1.0,0
B26,rust_brkga,2,2,,1.0,0
B26,rust_extreme_point,2,2,,1.0,0
B26,rust_ga,2,2,,1.0,0
B26,rust_layer,2,2,,1.0,0
B26,rust_sa,2,2,,1.0,0
B26,skjolber_fast_bruteforce,2,2,,1.0,0
B26,skjolber_laff,2,2,,1.0,0
B26,skjolber_plain,2,2,,1.0,0
