benchmark_id,problem_variant,problem_scope,comparison_track,implementation_id,time_limit_s,item_order,adapter,rank_scope,planned_records,valid_records,invalid_records,valid_rate,instance_set_sha256,mean_volume_utilization,median_volume_utilization,p95_volume_utilization,mean_wall_s
B01,ORIGINAL,FULL_PROBLEM,NATIVE,packingsolver_fork_box,10.0,SOLVER_INTERNAL,legacy_import/packingsolver_thpack_v2,PER_SUPPORTED_INSTANCE_SET,700,700,0,1.0,460e8e3b2ea5156c9c1b6fab7b3466bca4b1fa4731e213375739ea231861805c,0.9623944919970977,0.9636327078906282,0.974631450978776,10.008943339729283
B01,RELAXED_ALL_ROTATIONS,GEOMETRY_PROJECTION,COMPOSED,rust_extreme_point,10.0,ASCENDING,thpack_external_projection_v1,PER_SUPPORTED_INSTANCE_SET,700,700,0,1.0,460e8e3b2ea5156c9c1b6fab7b3466bca4b1fa4731e213375739ea231861805c,0.83080890310821,0.8326070252798141,0.8829672824050288,0.039282268287081805
B01,RELAXED_ALL_ROTATIONS,GEOMETRY_PROJECTION,COMPOSED,rust_extreme_point,1.0,ASCENDING,thpack_external_projection_v1,PER_SUPPORTED_INSTANCE_SET,700,700,0,1.0,460e8e3b2ea5156c9c1b6fab7b3466bca4b1fa4731e213375739ea231861805c,0.83080890310821,0.8326070252798141,0.8829672824050288,0.039644811734823246
B01,RELAXED_ALL_ROTATIONS,GEOMETRY_PROJECTION,COMPOSED,rust_extreme_point,10.0,DESCENDING,thpack_external_projection_v1,PER_SUPPORTED_INSTANCE_SET,700,700,0,1.0,460e8e3b2ea5156c9c1b6fab7b3466bca4b1fa4731e213375739ea231861805c,0.83080890310821,0.8326070252798141,0.8829672824050288,0.03951712636875787
B01,RELAXED_ALL_ROTATIONS,GEOMETRY_PROJECTION,COMPOSED,rust_extreme_point,1.0,DESCENDING,thpack_external_projection_v1,PER_SUPPORTED_INSTANCE_SET,700,700,0,1.0,460e8e3b2ea5156c9c1b6fab7b3466bca4b1fa4731e213375739ea231861805c,0.83080890310821,0.8326070252798141,0.8829672824050288,0.039539533658950986
B01,ORIGINAL,FULL_PROBLEM,NATIVE,jerry,60.0,DESCENDING,legacy_import/python_thpack_v1,PER_SUPPORTED_INSTANCE_SET,28,28,0,1.0,df048b73db7456405cd9df9d107f57a9d1dfd76305d6edee881236b8429f430b,0.8086882298850663,0.8107319068835034,0.8877900751156047,2.554541084117123
B01,ORIGINAL,FULL_PROBLEM,NATIVE,py3dbp,60.0,DESCENDING,legacy_import/python_thpack_v1,PER_SUPPORTED_INSTANCE_SET,9,9,0,1.0,697fd746a16e46abc3c3991fcff5fd19076c40c67cbce16cfe199f48555a0378,0.8066066636933269,0.8214121680499787,0.8944400095448197,2.312245637566472
B01,RELAXED_ALL_ROTATIONS,GEOMETRY_PROJECTION,COMPOSED,go_bp3d,10.0,DESCENDING,thpack_external_projection_v1,PER_SUPPORTED_INSTANCE_SET,700,700,0,1.0,460e8e3b2ea5156c9c1b6fab7b3466bca4b1fa4731e213375739ea231861805c,0.7661529926266931,0.7666335433946989,0.8431751547543638,0.05574667178094387
B01,RELAXED_ALL_ROTATIONS,GEOMETRY_PROJECTION,COMPOSED,go_bp3d,1.0,DESCENDING,thpack_external_projection_v1,PER_SUPPORTED_INSTANCE_SET,700,700,0,1.0,460e8e3b2ea5156c9c1b6fab7b3466bca4b1fa4731e213375739ea231861805c,0.7661529926266931,0.7666335433946989,0.8431751547543638,0.055778191950105666
B01,RELAXED_ALL_ROTATIONS,GEOMETRY_PROJECTION,COMPOSED,go_bp3d,10.0,ASCENDING,thpack_external_projection_v1,PER_SUPPORTED_INSTANCE_SET,700,700,0,1.0,460e8e3b2ea5156c9c1b6fab7b3466bca4b1fa4731e213375739ea231861805c,0.7661470157198016,0.7666335433946989,0.8431751547543638,0.05608925295993686
B01,RELAXED_ALL_ROTATIONS,GEOMETRY_PROJECTION,COMPOSED,go_bp3d,1.0,ASCENDING,thpack_external_projection_v1,PER_SUPPORTED_INSTANCE_SET,700,700,0,1.0,460e8e3b2ea5156c9c1b6fab7b3466bca4b1fa4731e213375739ea231861805c,0.7661470157198016,0.7666335433946989,0.8431751547543638,0.05669699215596276
B01,ORIGINAL,FULL_PROBLEM,NATIVE,packingsolver_fork_box,1.0,SOLVER_INTERNAL,legacy_import/packingsolver_thpack_v2,PER_SUPPORTED_INSTANCE_SET,700,700,0,1.0,460e8e3b2ea5156c9c1b6fab7b3466bca4b1fa4731e213375739ea231861805c,0.7215738158683483,0.9416892935171663,0.9671825034679733,1.0315680926382942
B01,ORIGINAL,FULL_PROBLEM,NATIVE,jerry,60.0,ASCENDING,legacy_import/python_thpack_v1,PER_SUPPORTED_INSTANCE_SET,28,28,0,1.0,df048b73db7456405cd9df9d107f57a9d1dfd76305d6edee881236b8429f430b,0.7065096297565169,0.7097777904805711,0.8072050095680836,2.819013188227213
B01,ORIGINAL,FULL_PROBLEM,NATIVE,py3dbp,60.0,ASCENDING,legacy_import/python_thpack_v1,PER_SUPPORTED_INSTANCE_SET,9,9,0,1.0,697fd746a16e46abc3c3991fcff5fd19076c40c67cbce16cfe199f48555a0378,0.6791794350048659,0.67620804117832,0.8063092853947641,2.6689843251369894
B01,RELAXED_ALL_ROTATIONS,GEOMETRY_PROJECTION,COMPOSED,rust_layer,10.0,DESCENDING,thpack_external_projection_v1,PER_SUPPORTED_INSTANCE_SET,700,700,0,1.0,460e8e3b2ea5156c9c1b6fab7b3466bca4b1fa4731e213375739ea231861805c,0.5919695625933461,0.6021618750918091,0.7419052816220344,0.019134998494160494
B01,RELAXED_ALL_ROTATIONS,GEOMETRY_PROJECTION,COMPOSED,rust_layer,1.0,DESCENDING,thpack_external_projection_v1,PER_SUPPORTED_INSTANCE_SET,700,700,0,1.0,460e8e3b2ea5156c9c1b6fab7b3466bca4b1fa4731e213375739ea231861805c,0.5919695625933461,0.6021618750918091,0.7419052816220344,0.019870588909502006
B01,RELAXED_ALL_ROTATIONS,GEOMETRY_PROJECTION,COMPOSED,rust_ga,10.0,DESCENDING,thpack_external_projection_v1,PER_SUPPORTED_INSTANCE_SET,700,700,0,1.0,460e8e3b2ea5156c9c1b6fab7b3466bca4b1fa4731e213375739ea231861805c,0.49578694783877536,0.49347971160818915,0.5870640440125199,0.8115726415836252
B01,RELAXED_ALL_ROTATIONS,GEOMETRY_PROJECTION,COMPOSED,rust_ga,10.0,ASCENDING,thpack_external_projection_v1,PER_SUPPORTED_INSTANCE_SET,700,700,0,1.0,460e8e3b2ea5156c9c1b6fab7b3466bca4b1fa4731e213375739ea231861805c,0.49545370069241723,0.49009548807861314,0.5890461893503474,0.816394408079463
