INSTANCE,ALGORITHM,BIN_INDEX,ITEM_ID,X,Y,Z,DX,DY,DZ
MPV-GEN-T6-N30-R01,fast_brute_force,0,item-000,0,0,0,2,1,5
MPV-GEN-T6-N30-R01,fast_brute_force,0,item-001,2,0,0,9,3,3
MPV-GEN-T6-N30-R01,fast_brute_force,0,item-002,11,0,0,6,5,1
MPV-GEN-T6-N30-R01,fast_brute_force,0,item-003,0,1,0,2,4,6
MPV-GEN-T6-N30-R01,fast_brute_force,0,item-004,2,3,0,2,10,4
MPV-GEN-T6-N30-R01,fast_brute_force,0,item-005,0,5,0,2,4,9
MPV-GEN-T6-N30-R01,fast_brute_force,0,item-006,4,3,0,3,9,4
MPV-GEN-T6-N30-R01,fast_brute_force,0,item-007,0,9,0,2,2,6
MPV-GEN-T6-N30-R01,fast_brute_force,0,item-008,0,0,6,9,4,1
MPV-GEN-T6-N30-R01,fast_brute_force,0,item-009,17,0,0,9,9,2
MPV-GEN-T6-N30-R01,fast_brute_force,0,item-010,11,0,1,5,7,2
MPV-GEN-T6-N30-R01,fast_brute_force,0,item-011,16,5,0,1,7,9
MPV-GEN-T6-N30-R01,fast_brute_force,0,item-012,16,0,2,6,5,3
MPV-GEN-T6-N30-R01,fast_brute_force,0,item-013,7,7,0,8,8,6
MPV-GEN-T6-N30-R01,fast_brute_force,0,item-014,2,4,6,10,6,9
MPV-GEN-T6-N30-R01,fast_brute_force,0,item-015,0,10,6,9,7,9
MPV-GEN-T6-N30-R01,fast_brute_force,0,item-016,9,10,6,5,8,9
MPV-GEN-T6-N30-R01,fast_brute_force,0,item-017,12,0,3,3,5,1
MPV-GEN-T6-N30-R01,fast_brute_force,0,item-018,0,0,9,2,6,2
MPV-GEN-T6-N30-R01,fast_brute_force,0,item-019,0,17,0,9,6,9
MPV-GEN-T6-N30-R01,fast_brute_force,0,item-020,9,0,5,8,4,8
MPV-GEN-T6-N30-R01,fast_brute_force,0,item-021,4,12,0,3,4,1
MPV-GEN-T6-N30-R01,fast_brute_force,0,item-022,12,0,13,10,10,1
MPV-GEN-T6-N30-R01,fast_brute_force,0,item-023,0,0,11,8,2,8
MPV-GEN-T6-N30-R01,fast_brute_force,0,item-024,0,17,9,9,10,3
MPV-GEN-T6-N30-R01,fast_brute_force,0,item-025,0,17,12,4,9,7
MPV-GEN-T6-N30-R01,fast_brute_force,0,item-026,4,17,12,5,10,8
MPV-GEN-T6-N30-R01,fast_brute_force,0,item-027,0,11,4,7,6,2
MPV-GEN-T6-N30-R01,fast_brute_force,0,item-028,8,0,7,1,4,2
MPV-GEN-T6-N30-R01,fast_brute_force,0,item-029,12,0,14,10,10,9
MPV-GEN-T6-N30-R02,fast_brute_force,0,item-000,0,0,0,3,3,7
MPV-GEN-T6-N30-R02,fast_brute_force,0,item-001,3,0,0,2,9,7
MPV-GEN-T6-N30-R02,fast_brute_force,0,item-002,0,9,0,8,3,5
MPV-GEN-T6-N30-R02,fast_brute_force,0,item-003,5,0,0,9,3,10
MPV-GEN-T6-N30-R02,fast_brute_force,0,item-004,5,3,0,10,3,7
MPV-GEN-T6-N30-R02,fast_brute_force,0,item-005,15,0,0,7,8,10
MPV-GEN-T6-N30-R02,fast_brute_force,0,item-006,14,0,7,1,10,3
MPV-GEN-T6-N30-R02,fast_brute_force,0,item-007,8,6,0,6,6,2
MPV-GEN-T6-N30-R02,fast_brute_force,0,item-008,5,6,0,3,2,3
MPV-GEN-T6-N30-R02,fast_brute_force,0,item-009,0,3,0,1,4,4
MPV-GEN-T6-N30-R02,fast_brute_force,0,item-010,1,3,0,2,3,6
MPV-GEN-T6-N30-R02,fast_brute_force,0,item-011,8,6,2,7,3,5
MPV-GEN-T6-N30-R02,fast_brute_force,0,item-012,8,9,2,6,8,7
MPV-GEN-T6-N30-R02,fast_brute_force,0,item-013,0,3,7,9,6,1
MPV-GEN-T6-N30-R02,fast_brute_force,0,item-014,14,6,0,1,10,1
MPV-GEN-T6-N30-R02,fast_brute_force,0,item-015,9,3,7,3,6,3
MPV-GEN-T6-N30-R02,fast_brute_force,0,item-016,0,12,0,8,4,3
MPV-GEN-T6-N30-R02,fast_brute_force,0,item-017,0,0,8,4,7,9
MPV-GEN-T6-N30-R02,fast_brute_force,0,item-018,0,9,5,3,7,7
MPV-GEN-T6-N30-R02,fast_brute_force,0,item-019,0,16,0,7,8,4
MPV-GEN-T6-N30-R02,fast_brute_force,0,item-020,0,16,4,7,10,9
MPV-GEN-T6-N30-R02,fast_brute_force,0,item-021,3,7,8,3,9,5
MPV-GEN-T6-N30-R02,fast_brute_force,0,item-022,0,7,13,8,8,3
MPV-GEN-T6-N30-R02,fast_brute_force,0,item-023,4,0,8,1,4,6
MPV-GEN-T6-N30-R02,fast_brute_force,0,item-024,5,3,8,3,4,6
MPV-GEN-T6-N30-R02,fast_brute_force,0,item-025,5,0,10,10,3,10
MPV-GEN-T6-N30-R02,fast_brute_force,0,item-026,0,0,17,4,9,4
MPV-GEN-T6-N30-R02,fast_brute_force,0,item-027,4,3,14,5,3,9
MPV-GEN-T6-N30-R02,fast_brute_force,0,item-028,6,7,10,9,9,1
MPV-GEN-T6-N30-R02,fast_brute_force,0,item-029,14,16,0,6,8,6
MPV-GEN-T6-N30-R03,fast_brute_force,0,item-000,0,0,0,1,6,10
MPV-GEN-T6-N30-R03,fast_brute_force,0,item-001,0,6,0,6,6,2
MPV-GEN-T6-N30-R03,fast_brute_force,0,item-002,0,12,0,3,10,2
MPV-GEN-T6-N30-R03,fast_brute_force,0,item-003,1,0,0,7,1,5
MPV-GEN-T6-N30-R03,fast_brute_force,0,item-004,0,22,0,9,7,7
MPV-GEN-T6-N30-R03,fast_brute_force,0,item-005,1,1,0,3,3,8
MPV-GEN-T6-N30-R03,fast_brute_force,0,item-006,3,12,0,10,10,1
MPV-GEN-T6-N30-R03,fast_brute_force,0,item-007,3,12,1,1,9,9
MPV-GEN-T6-N30-R03,fast_brute_force,0,item-008,4,12,1,6,9,6
MPV-GEN-T6-N30-R03,fast_brute_force,0,item-009,0,6,2,6,6,9
MPV-GEN-T6-N30-R03,fast_brute_force,0,item-010,1,4,0,8,2,1
MPV-GEN-T6-N30-R03,fast_brute_force,0,item-011,6,1,1,4,8,2
MPV-GEN-T6-N30-R03,fast_brute_force,0,item-012,6,1,3,9,8,2
MPV-GEN-T6-N30-R03,fast_brute_force,0,item-013,4,1,1,1,5,7
MPV-GEN-T6-N30-R03,fast_brute_force,0,item-014,5,1,1,1,5,4
MPV-GEN-T6-N30-R03,fast_brute_force,0,item-015,5,0,5,8,4,8
MPV-GEN-T6-N30-R03,fast_brute_force,0,item-016,13,0,0,8,1,8
MPV-GEN-T6-N30-R03,fast_brute_force,0,item-017,1,4,1,2,2,8
MPV-GEN-T6-N30-R03,fast_brute_force,0,item-018,0,12,2,3,7,1
MPV-GEN-T6-N30-R03,fast_brute_force,0,item-019,9,22,0,8,9,10
MPV-GEN-T6-N30-R03,fast_brute_force,0,item-020,4,12,7,5,7,1
MPV-GEN-T6-N30-R03,fast_brute_force,0,item-021,1,0,5,4,1,2
MPV-GEN-T6-N30-R03,fast_brute_force,0,item-022,0,29,0,7,5,4
MPV-GEN-T6-N30-R03,fast_brute_force,0,item-023,3,0,8,1,5,3
MPV-GEN-T6-N30-R03,fast_brute_force,0,item-024,4,12,8,10,9,8
MPV-GEN-T6-N30-R03,fast_brute_force,0,item-025,0,29,4,7,6,2
MPV-GEN-T6-N30-R03,fast_brute_force,0,item-026,0,12,3,2,9,1
MPV-GEN-T6-N30-R03,fast_brute_force,0,item-027,0,12,4,2,7,7
MPV-GEN-T6-N30-R03,fast_brute_force,0,item-028,0,29,6,8,5,7
MPV-GEN-T6-N30-R03,fast_brute_force,0,item-029,4,0,8,1,5,10
MPV-GEN-T6-N30-R04,fast_brute_force,0,item-000,0,0,0,2,6,2
