INSTANCE,ALGORITHM,BIN_INDEX,ITEM_ID,X,Y,Z,DX,DY,DZ
MPV-GEN-T1-N30-R01,laff,0,item-029,0,0,0,91,86,18
MPV-GEN-T1-N30-R01,laff,0,item-005,0,0,18,95,76,69
MPV-GEN-T1-N30-R01,laff,0,item-014,0,76,18,94,16,69
MPV-GEN-T1-N30-R01,laff,0,item-013,0,92,18,11,2,26
MPV-GEN-T1-N30-R01,laff,0,item-025,0,0,87,85,79,11
MPV-GEN-T1-N30-R01,laff,1,item-004,0,0,0,66,89,65
MPV-GEN-T1-N30-R01,laff,1,item-027,66,0,0,21,28,9
MPV-GEN-T1-N30-R01,laff,1,item-001,0,0,65,68,86,25
MPV-GEN-T1-N30-R01,laff,2,item-026,0,0,0,84,65,52
MPV-GEN-T1-N30-R01,laff,2,item-012,0,65,0,48,19,23
MPV-GEN-T1-N30-R01,laff,3,item-023,0,0,0,99,51,65
MPV-GEN-T1-N30-R01,laff,4,item-015,0,0,0,44,93,93
MPV-GEN-T1-N30-R01,laff,4,item-009,44,0,0,45,78,93
MPV-GEN-T1-N30-R01,laff,4,item-010,89,0,0,6,80,91
MPV-GEN-T1-N30-R01,laff,4,item-021,95,0,0,4,92,85
MPV-GEN-T1-N30-R01,laff,5,item-019,0,0,0,47,85,95
MPV-GEN-T1-N30-R01,laff,5,item-028,47,0,0,41,79,92
MPV-GEN-T1-N30-R01,laff,5,item-024,88,0,0,1,85,95
MPV-GEN-T1-N30-R01,laff,6,item-016,0,0,0,73,52,93
MPV-GEN-T1-N30-R01,laff,6,item-003,0,52,0,85,44,72
MPV-GEN-T1-N30-R01,laff,7,item-006,0,0,0,34,86,89
MPV-GEN-T1-N30-R01,laff,7,item-002,34,0,0,32,84,86
MPV-GEN-T1-N30-R01,laff,7,item-020,66,0,0,27,81,87
MPV-GEN-T1-N30-R01,laff,8,item-017,0,0,0,38,72,98
MPV-GEN-T1-N30-R01,laff,8,item-007,38,0,0,22,70,92
MPV-GEN-T1-N30-R01,laff,8,item-008,0,72,0,96,17,74
MPV-GEN-T1-N30-R01,laff,9,item-000,0,0,0,76,35,84
MPV-GEN-T1-N30-R01,laff,9,item-022,76,0,0,19,80,77
MPV-GEN-T1-N30-R01,laff,10,item-018,0,0,0,20,73,79
MPV-GEN-T1-N30-R01,laff,11,item-011,0,0,0,9,97,99
MPV-GEN-T1-N30-R02,laff,0,item-007,0,0,0,76,100,99
MPV-GEN-T1-N30-R02,laff,0,item-012,76,0,0,24,93,99
MPV-GEN-T1-N30-R02,laff,1,item-028,0,0,0,82,89,91
MPV-GEN-T1-N30-R02,laff,1,item-001,82,0,0,17,73,73
MPV-GEN-T1-N30-R02,laff,1,item-017,0,0,91,66,94,6
MPV-GEN-T1-N30-R02,laff,1,item-005,0,0,97,81,76,2
MPV-GEN-T1-N30-R02,laff,2,item-023,0,0,0,77,90,28
MPV-GEN-T1-N30-R02,laff,2,item-006,0,0,28,67,98,41
MPV-GEN-T1-N30-R02,laff,2,item-018,0,0,69,74,86,20
MPV-GEN-T1-N30-R02,laff,3,item-019,0,0,0,85,74,49
MPV-GEN-T1-N30-R02,laff,3,item-000,0,0,49,73,72,22
MPV-GEN-T1-N30-R02,laff,4,item-020,0,0,0,94,56,85
MPV-GEN-T1-N30-R02,laff,4,item-002,0,56,0,39,43,40
MPV-GEN-T1-N30-R02,laff,4,item-029,0,56,40,25,27,44
MPV-GEN-T1-N30-R02,laff,4,item-026,94,0,0,4,87,82
MPV-GEN-T1-N30-R02,laff,5,item-009,0,0,0,38,97,79
MPV-GEN-T1-N30-R02,laff,5,item-003,38,0,0,43,77,77
MPV-GEN-T1-N30-R02,laff,6,item-015,0,0,0,40,89,98
MPV-GEN-T1-N30-R02,laff,6,item-004,40,0,0,40,86,85
MPV-GEN-T1-N30-R02,laff,7,item-021,0,0,0,39,91,71
MPV-GEN-T1-N30-R02,laff,7,item-027,39,0,0,57,62,63
MPV-GEN-T1-N30-R02,laff,8,item-008,0,0,0,47,73,100
MPV-GEN-T1-N30-R02,laff,8,item-016,47,0,0,45,68,88
MPV-GEN-T1-N30-R02,laff,9,item-025,0,0,0,91,37,88
