INSTANCE,ALGORITHM,BIN_INDEX,ITEM_ID,X,Y,Z,DX,DY,DZ
MPV-GEN-T1-N30-R01,plain,0,item-005,0,0,0,95,76,69
MPV-GEN-T1-N30-R01,plain,0,item-001,0,0,69,68,86,25
MPV-GEN-T1-N30-R01,plain,0,item-014,0,76,0,94,16,69
MPV-GEN-T1-N30-R01,plain,0,item-027,68,0,69,21,28,9
MPV-GEN-T1-N30-R01,plain,0,item-013,0,86,69,11,2,26
MPV-GEN-T1-N30-R01,plain,0,item-021,95,0,0,4,92,85
MPV-GEN-T1-N30-R01,plain,0,item-024,99,0,0,1,85,95
MPV-GEN-T1-N30-R01,plain,1,item-004,0,0,0,66,89,65
MPV-GEN-T1-N30-R01,plain,1,item-006,66,0,0,34,86,89
MPV-GEN-T1-N30-R01,plain,1,item-012,0,0,65,48,19,23
MPV-GEN-T1-N30-R01,plain,1,item-025,0,0,89,85,79,11
MPV-GEN-T1-N30-R01,plain,2,item-015,0,0,0,44,93,93
MPV-GEN-T1-N30-R01,plain,2,item-019,44,0,0,47,85,95
MPV-GEN-T1-N30-R01,plain,2,item-011,91,0,0,9,97,99
MPV-GEN-T1-N30-R01,plain,3,item-016,0,0,0,73,52,93
MPV-GEN-T1-N30-R01,plain,3,item-003,0,52,0,85,44,72
MPV-GEN-T1-N30-R01,plain,3,item-010,85,0,0,6,80,91
MPV-GEN-T1-N30-R01,plain,4,item-023,0,0,0,99,51,65
MPV-GEN-T1-N30-R01,plain,4,item-000,0,51,0,76,35,84
MPV-GEN-T1-N30-R01,plain,5,item-009,0,0,0,45,78,93
MPV-GEN-T1-N30-R01,plain,5,item-028,45,0,0,41,79,92
MPV-GEN-T1-N30-R01,plain,5,item-008,0,79,0,96,17,74
MPV-GEN-T1-N30-R01,plain,6,item-026,0,0,0,84,65,52
MPV-GEN-T1-N30-R01,plain,6,item-029,0,0,52,91,86,18
MPV-GEN-T1-N30-R01,plain,7,item-017,0,0,0,38,72,98
MPV-GEN-T1-N30-R01,plain,7,item-002,38,0,0,32,84,86
MPV-GEN-T1-N30-R01,plain,7,item-020,70,0,0,27,81,87
MPV-GEN-T1-N30-R01,plain,8,item-007,0,0,0,22,70,92
MPV-GEN-T1-N30-R01,plain,8,item-022,22,0,0,19,80,77
MPV-GEN-T1-N30-R01,plain,8,item-018,41,0,0,20,73,79
MPV-GEN-T1-N30-R02,plain,0,item-007,0,0,0,76,100,99
MPV-GEN-T1-N30-R02,plain,0,item-012,76,0,0,24,93,99
MPV-GEN-T1-N30-R02,plain,1,item-028,0,0,0,82,89,91
MPV-GEN-T1-N30-R02,plain,1,item-001,82,0,0,17,73,73
MPV-GEN-T1-N30-R02,plain,1,item-005,0,0,91,81,76,2
MPV-GEN-T1-N30-R02,plain,1,item-017,0,0,93,66,94,6
MPV-GEN-T1-N30-R02,plain,2,item-006,0,0,0,67,98,41
MPV-GEN-T1-N30-R02,plain,2,item-013,67,0,0,29,93,82
MPV-GEN-T1-N30-R02,plain,2,item-024,0,0,41,63,50,50
MPV-GEN-T1-N30-R02,plain,2,item-002,0,50,41,39,43,40
MPV-GEN-T1-N30-R02,plain,2,item-029,39,50,41,25,27,44
MPV-GEN-T1-N30-R02,plain,2,item-026,96,0,0,4,87,82
MPV-GEN-T1-N30-R02,plain,3,item-023,0,0,0,77,90,28
MPV-GEN-T1-N30-R02,plain,3,item-018,0,0,28,74,86,20
MPV-GEN-T1-N30-R02,plain,3,item-000,0,0,48,73,72,22
MPV-GEN-T1-N30-R02,plain,4,item-020,0,0,0,94,56,85
MPV-GEN-T1-N30-R02,plain,4,item-025,0,56,0,91,37,88
MPV-GEN-T1-N30-R02,plain,5,item-015,0,0,0,40,89,98
MPV-GEN-T1-N30-R02,plain,5,item-004,40,0,0,40,86,85
MPV-GEN-T1-N30-R02,plain,6,item-008,0,0,0,47,73,100
MPV-GEN-T1-N30-R02,plain,6,item-009,47,0,0,38,97,79
MPV-GEN-T1-N30-R02,plain,7,item-019,0,0,0,85,74,49
MPV-GEN-T1-N30-R02,plain,8,item-003,0,0,0,43,77,77
MPV-GEN-T1-N30-R02,plain,8,item-021,43,0,0,39,91,71
MPV-GEN-T1-N30-R02,plain,9,item-010,0,0,0,41,81,75
MPV-GEN-T1-N30-R02,plain,9,item-016,41,0,0,45,68,88
MPV-GEN-T1-N30-R02,plain,10,item-014,0,0,0,27,98,99
MPV-GEN-T1-N30-R02,plain,10,item-022,27,0,0,36,69,97
MPV-GEN-T1-N30-R02,plain,10,item-011,63,0,0,33,66,88
MPV-GEN-T1-N30-R02,plain,11,item-027,0,0,0,57,62,63
MPV-GEN-T1-N30-R03,plain,0,item-011,0,0,0,100,65,86
MPV-GEN-T1-N30-R03,plain,0,item-013,0,65,0,68,33,87
MPV-GEN-T1-N30-R03,plain,0,item-004,0,0,87,98,80,10
MPV-GEN-T1-N30-R03,plain,0,item-010,68,65,0,27,11,25
MPV-GEN-T1-N30-R03,plain,0,item-022,0,80,87,50,14,5
MPV-GEN-T1-N30-R03,plain,0,item-024,0,0,97,71,99,3
MPV-GEN-T1-N30-R03,plain,1,item-007,0,0,0,49,93,72
MPV-GEN-T1-N30-R03,plain,1,item-017,49,0,0,50,88,53
MPV-GEN-T1-N30-R03,plain,1,item-012,99,0,0,1,93,82
MPV-GEN-T1-N30-R03,plain,1,item-015,0,0,72,37,11,14
MPV-GEN-T1-N30-R03,plain,1,item-028,0,11,72,99,79,4
MPV-GEN-T1-N30-R03,plain,2,item-002,0,0,0,87,41,85
MPV-GEN-T1-N30-R03,plain,2,item-016,87,0,0,12,82,85
MPV-GEN-T1-N30-R03,plain,3,item-023,0,0,0,78,80,42
MPV-GEN-T1-N30-R03,plain,3,item-019,78,0,0,22,97,74
MPV-GEN-T1-N30-R03,plain,3,item-027,0,0,42,53,88,53
MPV-GEN-T1-N30-R03,plain,4,item-018,0,0,0,29,98,82
MPV-GEN-T1-N30-R03,plain,4,item-005,29,0,0,41,69,74
MPV-GEN-T1-N30-R03,plain,4,item-006,70,0,0,29,76,86
MPV-GEN-T1-N30-R03,plain,5,item-008,0,0,0,24,88,92
MPV-GEN-T1-N30-R03,plain,5,item-009,24,0,0,28,82,76
MPV-GEN-T1-N30-R03,plain,5,item-021,52,0,0,25,77,81
MPV-GEN-T1-N30-R03,plain,5,item-020,77,0,0,22,77,82
MPV-GEN-T1-N30-R03,plain,6,item-029,0,0,0,28,66,94
MPV-GEN-T1-N30-R03,plain,6,item-001,28,0,0,22,73,80
MPV-GEN-T1-N30-R03,plain,6,item-014,50,0,0,18,84,70
MPV-GEN-T1-N30-R03,plain,6,item-026,68,0,0,15,73,81
MPV-GEN-T1-N30-R03,plain,6,item-025,83,0,0,15,71,79
MPV-GEN-T1-N30-R03,plain,7,item-003,0,0,0,7,72,93
MPV-GEN-T1-N30-R03,plain,7,item-000,7,0,0,6,80,91
MPV-GEN-T1-N30-R04,plain,0,item-024,0,0,0,88,88,48
MPV-GEN-T1-N30-R04,plain,0,item-021,88,0,0,12,76,90
MPV-GEN-T1-N30-R04,plain,0,item-029,0,88,0,92,12,70
MPV-GEN-T1-N30-R04,plain,0,item-004,0,0,48,39,18,23
MPV-GEN-T1-N30-R04,plain,0,item-008,0,18,48,50,12,8
MPV-GEN-T1-N30-R04,plain,0,item-010,0,18,70,69,82,1
MPV-GEN-T1-N30-R04,plain,0,item-022,0,0,71,87,93,27
MPV-GEN-T1-N30-R04,plain,1,item-016,0,0,0,79,56,78
MPV-GEN-T1-N30-R04,plain,1,item-023,0,56,0,92,18,84
MPV-GEN-T1-N30-R04,plain,1,item-014,92,0,0,8,69,100
MPV-GEN-T1-N30-R04,plain,1,item-001,0,74,0,73,5,98
MPV-GEN-T1-N30-R04,plain,1,item-005,0,79,0,95,3,100
MPV-GEN-T1-N30-R04,plain,1,item-000,0,82,0,91,2,89
MPV-GEN-T1-N30-R04,plain,2,item-027,0,0,0,88,90,36
MPV-GEN-T1-N30-R04,plain,2,item-018,0,0,36,67,67,60
MPV-GEN-T1-N30-R04,plain,2,item-007,88,0,0,11,70,85
MPV-GEN-T1-N30-R04,plain,3,item-013,0,0,0,58,72,63
MPV-GEN-T1-N30-R04,plain,3,item-011,58,0,0,32,96,67
MPV-GEN-T1-N30-R04,plain,3,item-002,90,0,0,4,70,84
MPV-GEN-T1-N30-R04,plain,4,item-015,0,0,0,33,92,97
MPV-GEN-T1-N30-R04,plain,4,item-028,33,0,0,49,68,85
MPV-GEN-T1-N30-R04,plain,4,item-020,82,0,0,18,99,74
MPV-GEN-T1-N30-R04,plain,5,item-019,0,0,0,35,86,93
MPV-GEN-T1-N30-R04,plain,5,item-026,35,0,0,27,81,79
MPV-GEN-T1-N30-R04,plain,5,item-003,62,0,0,22,80,98
MPV-GEN-T1-N30-R04,plain,6,item-006,0,0,0,25,88,78
MPV-GEN-T1-N30-R04,plain,6,item-012,25,0,0,27,80,78
MPV-GEN-T1-N30-R04,plain,6,item-017,52,0,0,22,92,71
MPV-GEN-T1-N30-R04,plain,6,item-025,74,0,0,21,72,94
MPV-GEN-T1-N30-R04,plain,7,item-009,0,0,0,21,66,97
MPV-GEN-T1-N30-R05,plain,0,item-015,0,0,0,96,65,100
MPV-GEN-T1-N30-R05,plain,0,item-000,0,65,0,89,23,98
MPV-GEN-T1-N30-R05,plain,0,item-021,0,88,0,46,12,30
MPV-GEN-T1-N30-R05,plain,1,item-025,0,0,0,88,86,45
MPV-GEN-T1-N30-R05,plain,1,item-012,0,0,45,67,80,33
MPV-GEN-T1-N30-R05,plain,1,item-029,0,0,78,37,31,20
MPV-GEN-T1-N30-R05,plain,1,item-002,0,31,78,12,38,6
MPV-GEN-T1-N30-R05,plain,1,item-011,88,0,0,7,99,92
MPV-GEN-T1-N30-R05,plain,2,item-019,0,0,0,47,74,88
MPV-GEN-T1-N30-R05,plain,2,item-005,47,0,0,50,66,92
MPV-GEN-T1-N30-R05,plain,3,item-010,0,0,0,48,82,76
MPV-GEN-T1-N30-R05,plain,3,item-028,48,0,0,35,91,99
MPV-GEN-T1-N30-R05,plain,3,item-009,83,0,0,13,86,94
MPV-GEN-T1-N30-R05,plain,4,item-001,0,0,0,33,95,82
MPV-GEN-T1-N30-R05,plain,4,item-023,33,0,0,45,73,70
MPV-GEN-T1-N30-R05,plain,4,item-020,78,0,0,15,73,100
MPV-GEN-T1-N30-R05,plain,5,item-014,0,0,0,47,67,71
MPV-GEN-T1-N30-R05,plain,5,item-016,47,0,0,43,74,67
MPV-GEN-T1-N30-R05,plain,5,item-006,0,0,71,79,66,23
MPV-GEN-T1-N30-R05,plain,6,item-026,0,0,0,60,52,76
MPV-GEN-T1-N30-R05,plain,6,item-018,60,0,0,38,76,73
MPV-GEN-T1-N30-R05,plain,6,item-027,0,0,76,85,94,13
MPV-GEN-T1-N30-R05,plain,7,item-003,0,0,0,36,75,67
MPV-GEN-T1-N30-R05,plain,7,item-004,36,0,0,39,67,93
MPV-GEN-T1-N30-R05,plain,8,item-013,0,0,0,33,69,98
MPV-GEN-T1-N30-R05,plain,8,item-008,33,0,0,27,82,98
MPV-GEN-T1-N30-R05,plain,8,item-022,60,0,0,31,81,78
MPV-GEN-T1-N30-R05,plain,9,item-024,0,0,0,81,33,74
MPV-GEN-T1-N30-R05,plain,10,item-007,0,0,0,26,69,99
MPV-GEN-T1-N30-R05,plain,10,item-017,26,0,0,32,68,78
MPV-GEN-T1-N30-R06,plain,0,item-000,0,0,0,86,90,26
MPV-GEN-T1-N30-R06,plain,0,item-021,0,0,26,83,84,14
MPV-GEN-T1-N30-R06,plain,0,item-011,0,0,40,71,68,11
MPV-GEN-T1-N30-R06,plain,0,item-018,0,0,51,42,44,44
MPV-GEN-T1-N30-R06,plain,0,item-014,0,44,51,37,22,48
MPV-GEN-T1-N30-R06,plain,0,item-016,86,0,0,9,87,75
MPV-GEN-T1-N30-R06,plain,0,item-020,0,90,0,71,5,92
MPV-GEN-T1-N30-R06,plain,0,item-005,95,0,0,4,70,83
MPV-GEN-T1-N30-R06,plain,0,item-001,42,0,51,37,42,13
MPV-GEN-T1-N30-R06,plain,0,item-006,42,0,64,20,33,15
MPV-GEN-T1-N30-R06,plain,0,item-008,99,0,0,1,96,89
